SF,BW,TP,timestamp,rssi,kalman_rssi,sma_rssi,tx_interval,payload,energy_per_packet_j
10,250000,12,2025-12-31T02:04:31.727190,-61.0,-61.6238,-61.7,2479,"10068956,100,8,F1,6F,F9,40,7F,B6,EF,41",0.490842000
10,250000,12,2025-12-31T02:04:34.205190,-62.0,-61.7683,-61.8,2478,"10073305,100,8,B6,52,1E,40,BB,CC,EF,41",0.490644000
10,250000,12,2025-12-31T02:04:36.674190,-63.0,-62.1701,-62.1,2469,"10075784,100,8,CF,06,FC,40,E7,19,EB,41",0.488862000
10,250000,12,2025-12-31T02:04:39.162190,-62.0,-62.1193,-62.0,2488,"10078263,100,8,CE,9A,1C,40,D5,CD,E5,41",0.492624000
10,250000,12,2025-12-31T02:04:41.636190,-61.0,-61.8668,-62.0,2474,"10080742,100,8,FB,51,A7,40,84,43,DF,41",0.489852000
10,250000,12,2025-12-31T02:04:44.125190,-63.0,-62.4334,-62.2,2489,"10083221,100,8,82,80,E2,40,A0,3B,D7,41",0.492822000
10,250000,12,2025-12-31T02:04:46.591190,-63.0,-62.7167,-62.2,2466,"10085700,100,8,46,C6,01,40,59,CB,CE,41",0.488268000
10,250000,12,2025-12-31T02:04:49.076190,-62.0,-62.3584,-62.2,2485,"10088179,100,8,35,A9,D5,40,FB,A0,C5,41",0.492030000
10,250000,12,2025-12-31T02:04:51.550190,-62.0,-62.1792,-62.5,2474,"10090658,100,8,4C,C7,C0,40,DE,F8,BC,41",0.489852000
10,250000,12,2025-12-31T02:04:54.026190,-62.0,-62.0896,-62.2,2476,"10093137,100,8,01,C0,0D,40,32,7F,B4,41",0.490248000
10,250000,12,2025-12-31T02:04:56.508190,-63.0,-62.5448,-62.2,2482,"10095616,100,8,2A,4B,F1,40,7D,58,AD,41",0.491436000
10,250000,12,2025-12-31T02:04:58.989190,-63.0,-62.7724,-62.5,2481,"10098096,100,8,D3,E9,8F,40,82,3F,A7,41",0.491238000
10,250000,12,2025-12-31T02:05:01.469190,-61.0,-61.8862,-62.2,2480,"10100575,100,8,C9,E5,39,40,B6,06,A3,41",0.491040000
10,250000,12,2025-12-31T02:05:03.945190,-63.0,-62.4431,-62.5,2476,"10103054,100,8,30,E8,FF,40,39,85,A0,41",0.490248000
10,250000,12,2025-12-31T02:05:06.421190,-61.0,-61.7215,-62.0,2476,"10105533,100,8,01,F3,55,40,87,11,A0,41",0.490248000
10,250000,12,2025-12-31T02:05:08.901190,-61.0,-61.3608,-61.5,2480,"10108012,100,8,2E,A7,87,40,41,A7,A1,41",0.491040000
10,250000,12,2025-12-31T02:05:11.383190,-62.0,-61.6804,-61.8,2482,"10110491,100,8,01,68,F9,40,B2,0F,A5,41",0.491436000
10,250000,12,2025-12-31T02:05:13.869190,-62.0,-61.8402,-61.5,2486,"10112970,100,8,0A,B7,14,40,DB,6B,AA,41",0.492228000
10,250000,12,2025-12-31T02:05:16.336190,-63.0,-62.4201,-62.0,2467,"10115449,100,8,83,B7,B8,40,D2,56,B1,41",0.488466000
10,250000,12,2025-12-31T02:05:18.812190,-62.0,-62.2100,-62.2,2476,"10117928,100,8,00,74,DC,40,1E,14,B9,41",0.490248000
10,250000,12,2025-12-31T02:05:21.292190,-63.0,-62.6050,-62.5,2480,"10120407,100,8,A3,38,00,40,B0,EE,C1,41",0.491040000
10,250000,12,2025-12-31T02:05:23.772190,-62.0,-62.3025,-62.5,2480,"10122887,100,8,EE,27,DC,40,F0,B4,CA,41",0.491040000
10,250000,12,2025-12-31T02:05:26.254190,-63.0,-62.6513,-62.5,2482,"10125366,100,8,96,B5,AF,40,D4,BB,D3,41",0.491436000
10,250000,12,2025-12-31T02:05:28.738190,-62.0,-62.3256,-62.5,2484,"10127845,100,8,0A,5F,14,40,CB,CB,DB,41",0.491832000
10,250000,12,2025-12-31T02:05:31.209190,-63.0,-62.6628,-62.5,2471,"10130324,100,8,37,44,F9,40,E4,32,E3,41",0.489258000
10,250000,12,2025-12-31T02:05:33.690190,-62.0,-62.3314,-62.5,2481,"10132803,100,8,CC,05,88,40,9E,F1,E8,41",0.491238000
