SF,BW,TP,payload,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp
7,62500,22,"24210771,100,8,F1,8D,DC,40,F5,CB,EE,41",38,-54.0,-47.1333,-53.57,-53.5,93.24,104.90,1550,2025-12-20T22:28:28.754369
7,62500,22,"24213460,100,8,78,B3,F3,40,A1,C6,EF,41",38,-53.0,-46.0667,-53.35,-53.4,93.24,104.90,1550,2025-12-20T22:28:30.304369
7,62500,22,"24215010,100,8,85,0C,05,40,12,A4,EF,41",38,-54.0,-47.1333,-53.56,-53.5,93.24,104.90,1556,2025-12-20T22:28:31.860369
7,62500,22,"24216560,100,8,A9,1E,75,40,BE,81,EE,41",38,-53.0,-46.0667,-53.39,-53.5,93.24,104.90,1541,2025-12-20T22:28:33.401369
7,62500,22,"24218110,100,8,95,BF,F0,40,85,9E,EC,41",38,-52.0,-45.0000,-52.81,-53.0,93.24,104.90,1552,2025-12-20T22:28:34.953369
7,62500,22,"24219660,100,8,A6,E3,E0,40,DB,03,EA,41",38,-53.0,-46.0667,-52.91,-53.0,93.24,104.90,1549,2025-12-20T22:28:36.502369
7,62500,22,"24221210,100,8,82,09,3C,40,E6,7C,E6,41",38,-50.0,-42.8667,-51.45,-52.0,93.24,104.90,1555,2025-12-20T22:28:38.057369
7,62500,22,"24222760,100,8,27,23,20,40,88,93,E2,41",38,-53.0,-46.0667,-52.23,-52.0,93.24,104.90,1546,2025-12-20T22:28:39.603369
7,62500,22,"24224310,100,8,5E,CF,C6,40,08,25,DE,41",38,-53.0,-46.0667,-52.61,-52.2,93.24,104.90,1546,2025-12-20T22:28:41.149369
7,62500,22,"24225860,100,8,CC,1F,FD,40,99,47,D9,41",38,-50.0,-42.8667,-51.31,-51.5,93.24,104.90,1552,2025-12-20T22:28:42.701369
7,62500,22,"24227410,100,8,99,D8,98,40,9B,13,D4,41",38,-53.0,-46.0667,-52.15,-52.2,93.24,104.90,1554,2025-12-20T22:28:44.255369
7,62500,22,"24228960,100,8,4C,E3,00,40,1E,A3,CE,41",38,-54.0,-47.1333,-53.08,-52.5,93.24,104.90,1543,2025-12-20T22:28:45.798369
7,62500,22,"24230510,100,8,D0,AB,86,40,61,11,C9,41",38,-54.0,-47.1333,-53.54,-52.8,93.24,104.90,1552,2025-12-20T22:28:47.350369
7,62500,22,"24232060,100,8,27,F2,F6,40,4B,7A,C3,41",38,-53.0,-46.0667,-53.27,-53.5,93.24,104.90,1552,2025-12-20T22:28:48.902369
7,62500,22,"24233610,100,8,80,E2,D6,40,DC,F9,BD,41",38,-53.0,-46.0667,-53.13,-53.5,93.24,104.90,1546,2025-12-20T22:28:50.448369
7,62500,22,"24235160,100,8,2F,6C,37,40,A4,AB,B8,41",38,-53.0,-46.0667,-53.07,-53.2,93.24,104.90,1553,2025-12-20T22:28:52.001369
7,62500,22,"24236710,100,8,9A,CD,23,40,37,AA,B3,41",38,-54.0,-47.1333,-53.53,-53.2,93.24,104.90,1546,2025-12-20T22:28:53.547369
7,62500,22,"24238260,100,8,9B,29,D2,40,EC,BE,AE,41",38,-53.0,-46.0667,-53.27,-53.2,93.24,104.90,1551,2025-12-20T22:28:55.098369
7,62500,22,"24239810,100,8,D5,2F,F9,40,0E,AA,AA,41",38,-53.0,-46.0667,-53.13,-53.2,93.24,104.90,1550,2025-12-20T22:28:56.648369
7,62500,22,"24241360,100,8,B8,27,8C,40,25,28,A7,41",38,-53.0,-46.0667,-53.07,-53.2,93.24,104.90,1548,2025-12-20T22:28:58.196369
7,62500,22,"24242910,100,8,6A,22,00,40,C3,4A,A4,41",38,-53.0,-46.0667,-53.03,-53.0,93.24,104.90,1555,2025-12-20T22:28:59.751369
7,62500,22,"24244460,100,8,E8,3B,93,40,40,20,A2,41",38,-53.0,-46.0667,-53.02,-53.0,93.24,104.90,1545,2025-12-20T22:29:01.296369
7,62500,22,"24246010,100,8,DB,97,FB,40,78,B3,A0,41",38,-53.0,-46.0667,-53.01,-53.0,93.24,104.90,1549,2025-12-20T22:29:02.845369
7,62500,22,"24247560,100,8,D3,E6,CB,40,8C,0B,A0,41",38,-53.0,-46.0667,-53.00,-53.0,93.24,104.90,1552,2025-12-20T22:29:04.397369
