SF,BW,TP,payload,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp
9,500000,2,"90419650,100,8,A2,5F,A2,40,98,8B,BB,41",38,-73.0,-67.4000,-72.53,-72.5,15.05,22.57,678,2025-12-21T16:51:57.806060
9,500000,2,"90421971,100,8,C7,D2,0E,40,70,2F,C0,41",38,-70.0,-64.2000,-71.56,-71.7,15.05,22.57,675,2025-12-21T16:51:58.481060
9,500000,2,"90422651,100,8,58,1B,90,40,B2,55,C7,41",38,-73.0,-67.4000,-72.03,-72.0,15.05,22.57,676,2025-12-21T16:51:59.157060
9,500000,2,"90423330,100,8,29,57,C8,40,F3,BB,C9,41",38,-72.0,-66.3333,-72.02,-72.0,15.05,22.57,681,2025-12-21T16:51:59.838060
9,500000,2,"90424009,100,8,66,7B,F2,40,9B,20,CC,41",38,-72.0,-66.3333,-71.62,-71.8,15.05,22.57,680,2025-12-21T16:52:00.518060
9,500000,2,"90424688,100,8,6D,CF,FF,40,75,81,CE,41",38,-73.0,-67.4000,-72.31,-72.5,15.05,22.57,677,2025-12-21T16:52:01.195060
9,500000,2,"90425367,100,8,50,AB,EB,40,51,DC,D0,41",38,-72.0,-66.3333,-72.16,-72.2,15.05,22.57,677,2025-12-21T16:52:01.872060
9,500000,2,"90426046,100,8,EC,D0,B3,40,2F,91,D3,41",38,-73.0,-67.4000,-72.58,-72.5,15.05,22.57,678,2025-12-21T16:52:02.550060
9,500000,2,"90426725,100,8,1E,A2,76,40,A7,D7,D5,41",38,-73.0,-67.4000,-72.79,-72.8,15.05,22.57,683,2025-12-21T16:52:03.233060
9,500000,2,"90427404,100,8,71,43,1F,40,5E,11,D8,41",38,-72.0,-66.3333,-72.39,-72.5,15.05,22.57,675,2025-12-21T16:52:03.908060
9,500000,2,"90428083,100,8,24,0B,00,40,47,3C,DA,41",38,-72.0,-66.3333,-72.20,-72.5,15.05,22.57,678,2025-12-21T16:52:04.586060
9,500000,2,"90428762,100,8,28,E1,23,40,64,56,DC,41",38,-72.0,-66.3333,-72.10,-72.2,15.05,22.57,677,2025-12-21T16:52:05.263060
9,500000,2,"90429441,100,8,BE,40,7E,40,C3,5D,DE,41",38,-70.0,-64.2000,-71.05,-71.5,15.05,22.57,686,2025-12-21T16:52:05.949060
9,500000,2,"90430120,100,8,7B,F6,C0,40,87,A1,E0,41",38,-71.0,-65.2667,-71.02,-71.2,15.05,22.57,671,2025-12-21T16:52:06.620060
9,500000,2,"90430799,100,8,93,1D,EE,40,FD,79,E2,41",38,-72.0,-66.3333,-71.51,-71.2,15.05,22.57,678,2025-12-21T16:52:07.298060
9,500000,2,"90431478,100,8,F0,FA,FF,40,0F,3A,E4,41",38,-71.0,-65.2667,-71.26,-71.0,15.05,22.57,678,2025-12-21T16:52:07.976060
9,500000,2,"90432157,100,8,F7,50,F0,40,1F,E0,E5,41",38,-71.0,-65.2667,-71.13,-71.2,15.05,22.57,680,2025-12-21T16:52:08.656060
9,500000,2,"90432836,100,8,75,98,C4,40,A9,6A,E7,41",38,-73.0,-67.4000,-72.06,-71.8,15.05,22.57,679,2025-12-21T16:52:09.335060
9,500000,2,"90433515,100,8,47,17,8C,40,41,D8,E8,41",38,-72.0,-66.3333,-72.03,-71.8,15.05,22.57,678,2025-12-21T16:52:10.013060
9,500000,2,"90434194,100,8,73,8B,28,40,72,5C,EA,41",38,-72.0,-66.3333,-72.02,-72.0,15.05,22.57,677,2025-12-21T16:52:10.690060
9,500000,2,"90434873,100,8,1E,5E,00,40,F5,86,EB,41",38,-72.0,-66.3333,-72.01,-72.2,15.05,22.57,681,2025-12-21T16:52:11.371060
9,500000,2,"90435552,100,8,1D,22,1B,40,BD,90,EC,41",38,-73.0,-67.4000,-72.50,-72.2,15.05,22.57,679,2025-12-21T16:52:12.050060
9,500000,2,"90436231,100,8,D7,7D,6F,40,D4,78,ED,41",38,-73.0,-67.4000,-72.75,-72.5,15.05,22.57,682,2025-12-21T16:52:12.732060
9,500000,2,"90436910,100,8,A5,FC,AF,40,65,3E,EE,41",38,-72.0,-66.3333,-72.38,-72.5,15.05,22.57,677,2025-12-21T16:52:13.409060
9,500000,2,"90437589,100,8,72,35,E9,40,51,F8,EE,41",38,-71.0,-65.2667,-71.69,-72.2,15.05,22.57,675,2025-12-21T16:52:14.084060
9,500000,2,"90438268,100,8,85,7C,FF,40,CF,70,EF,41",38,-72.0,-66.3333,-71.84,-72.0,15.05,22.57,679,2025-12-21T16:52:14.763060
9,500000,2,"90438947,100,8,6B,68,F4,40,F8,C4,EF,41",38,-71.0,-65.2667,-71.42,-71.5,15.05,22.57,677,2025-12-21T16:52:15.440060
