SF,BW,TP,payload,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp
10,125000,2,"8429057,100,8,18,C7,F8,40,C2,3E,B7,41",37,-73.0,-67.4000,-73.01,-73.0,110.70,166.05,4948,2026-01-31T21:15:47.205995
10,125000,2,"8448334,100,8,17,1D,00,40,71,09,DA,41",37,-73.0,-67.4000,-73.01,-73.0,110.70,166.05,4952,2026-01-31T21:15:52.157995
10,125000,2,"8453283,100,8,0B,2B,8E,40,71,EA,E7,41",37,-73.0,-67.4000,-73.01,-73.0,110.70,166.05,4941,2026-01-31T21:15:57.098995
10,125000,2,"8458232,100,8,FA,F7,FF,40,2A,40,DA,41",37,-73.0,-67.4000,-73.00,-73.0,110.70,166.05,4950,2026-01-31T21:16:02.048995
10,125000,2,"8463181,100,8,4E,5F,89,40,A2,F3,C8,41",37,-73.0,-67.4000,-72.58,-73.0,110.70,166.05,4952,2026-01-31T21:16:07.000995
10,125000,2,"8468130,100,8,5A,24,13,40,97,76,B7,41",37,-73.0,-67.4000,-72.79,-73.0,110.70,166.05,4949,2026-01-31T21:16:11.949995
10,125000,2,"8473079,100,8,C2,10,DB,40,72,44,A9,41",37,-72.0,-66.3333,-72.39,-72.8,110.70,166.05,4942,2026-01-31T21:16:16.891995
10,125000,2,"8478028,100,8,0A,87,DD,40,C7,30,A1,41",37,-73.0,-67.4000,-72.70,-72.8,110.70,166.05,4949,2026-01-31T21:16:21.840995
10,125000,2,"8482977,100,8,7A,FD,15,40,45,D7,A0,41",37,-73.0,-67.4000,-72.85,-72.8,110.70,166.05,4945,2026-01-31T21:16:26.785995
10,125000,2,"8487926,100,8,53,4F,86,40,BE,49,A8,41",37,-73.0,-67.4000,-72.92,-72.8,110.70,166.05,4959,2026-01-31T21:16:31.744995
10,125000,2,"8492875,100,8,EF,D5,FF,40,9C,0C,B6,41",37,-73.0,-67.4000,-72.96,-73.0,110.70,166.05,4943,2026-01-31T21:16:36.687995
10,125000,2,"8497824,100,8,60,49,91,40,71,62,C7,41",37,-73.0,-67.4000,-72.98,-73.0,110.70,166.05,4954,2026-01-31T21:16:41.641995
10,125000,2,"8502773,100,8,17,BC,0C,40,A6,D7,D8,41",37,-73.0,-67.4000,-72.99,-73.0,110.70,166.05,4941,2026-01-31T21:16:46.582995
10,125000,2,"8507722,100,8,73,80,D4,40,61,F2,E6,41",37,-73.0,-67.4000,-73.00,-73.0,110.70,166.05,4945,2026-01-31T21:16:51.527995
