SF,BW,TP,timestamp,rssi,kalman_rssi,sma_rssi,tx_interval,payload,energy_per_packet_j
10,62500,12,2026-02-22T17:01:45.277614,-64.0,-64.2095,-64.2,9880,"1000001,100,8,E6,C7,D3,CA,A7,75,CC,44",1.956240000
10,62500,12,2026-02-22T17:01:55.257614,-66.0,-64.8974,-64.8,9980,"1000002,100,8,C1,8D,D9,D9,1F,22,14,A3",1.976040000
10,62500,12,2026-02-22T17:02:05.043614,-64.0,-64.6046,-64.6,9786,"1000003,100,8,14,1C,A9,72,15,86,FD,C2",1.937628000
10,62500,12,2026-02-22T17:02:15.023614,-64.0,-64.4239,-64.5,9980,"1000004,100,8,23,25,07,F2,E5,F6,22,F9",1.976040000
10,62500,12,2026-02-22T17:02:24.809614,-65.0,-64.6250,-64.8,9786,"1000005,100,8,31,C8,59,58,E1,EC,6B,8B",1.937628000
10,62500,12,2026-02-22T17:02:34.789614,-62.0,-63.3125,-63.8,9980,"1000006,100,8,B5,17,F4,D0,FB,D5,1B,7A",1.976040000
10,62500,12,2026-02-22T17:02:44.769614,-64.0,-63.6562,-63.8,9980,"1000007,100,8,53,EC,76,22,9A,00,1A,2B",1.976040000
10,62500,12,2026-02-22T17:02:54.749614,-65.0,-64.3281,-64.0,9980,"1000008,100,8,25,D4,38,39,13,D9,CA,A4",1.976040000
10,62500,12,2026-02-22T17:03:04.729614,-64.0,-64.1641,-63.8,9980,"1000009,100,8,AE,09,C6,D3,3C,CE,6B,33",1.976040000
10,62500,12,2026-02-22T17:03:14.515614,-64.0,-64.0820,-64.2,9786,"1000010,100,8,AC,19,1F,56,8C,80,8B,2E",1.937628000
10,62500,12,2026-02-22T17:03:24.391614,-65.0,-64.5410,-64.5,9876,"1000011,100,8,26,81,40,EA,79,63,00,0F",1.955448000
10,62500,12,2026-02-22T17:03:34.371614,-64.0,-64.2705,-64.2,9980,"1000012,100,8,E0,D9,58,ED,6A,92,85,7C",1.976040000
10,62500,12,2026-02-22T17:03:44.157614,-66.0,-65.1353,-64.8,9786,"1000013,100,8,D4,F6,7F,03,FC,54,3B,81",1.937628000
10,62500,12,2026-02-22T17:03:54.137614,-65.0,-65.0676,-65.0,9980,"1000014,100,8,AE,E6,4B,E3,B1,2B,E3,94",1.976040000
10,62500,12,2026-02-22T17:04:04.117614,-65.0,-65.0338,-65.0,9980,"1000015,100,8,0F,22,0C,1D,03,40,8D,B2",1.976040000
10,62500,12,2026-02-22T17:04:13.903614,-64.0,-64.5169,-65.0,9786,"1000016,100,8,29,3E,95,14,A6,E4,31,C7",1.937628000
10,62500,12,2026-02-22T17:04:23.883614,-64.0,-64.2585,-64.5,9980,"1000017,100,8,EB,AA,38,37,CE,2F,3A,EE",1.976040000
10,62500,12,2026-02-22T17:04:33.863614,-65.0,-64.6292,-64.5,9980,"1000018,100,8,48,BE,A1,DA,B8,CD,DC,86",1.976040000
10,62500,12,2026-02-22T17:04:43.843614,-65.0,-64.8146,-64.5,9980,"1000019,100,8,D5,F0,BF,97,30,E5,94,2F",1.976040000
10,62500,12,2026-02-22T17:04:53.823614,-65.0,-64.9073,-64.8,9980,"1000020,100,8,B4,A7,FD,63,AD,5C,87,E7",1.976040000
10,62500,12,2026-02-22T17:05:03.766614,-64.0,-64.4537,-64.8,9943,"1000021,100,8,6C,5E,63,BF,A7,C1,AC,F9",1.968714000
10,62500,12,2026-02-22T17:05:13.746614,-65.0,-64.7268,-64.8,9980,"1000022,100,8,44,67,45,68,73,B1,8A,89",1.976040000
10,62500,12,2026-02-22T17:05:23.726614,-66.0,-65.3634,-65.0,9980,"1000023,100,8,F0,3F,B5,CC,CE,96,2D,BD",1.976040000
