SF,BW,TP,timestamp,rssi,kalman_rssi,sma_rssi,tx_interval,payload,energy_per_packet_j
7,62500,12,2025-12-30T23:19:17.177557,-63.0,-62.9429,-62.9,1523,"156303,100,8,CA,DB,F9,40,25,09,A5,41",0.301554000
7,62500,12,2025-12-30T23:19:18.698557,-63.0,-62.9648,-63.0,1521,"158992,100,8,B9,FA,8D,40,CB,16,A8,41",0.301158000
7,62500,12,2025-12-30T23:19:20.211557,-62.0,-62.6501,-62.7,1513,"160542,100,8,9A,02,6C,40,4C,0C,AF,41",0.299574000
7,62500,12,2025-12-30T23:19:21.742557,-63.0,-62.7546,-62.8,1531,"162092,100,8,00,EF,ED,40,9E,A7,B3,41",0.303138000
7,62500,12,2025-12-30T23:19:23.260557,-62.0,-62.6517,-62.5,1518,"163642,100,8,BA,7C,E4,40,DB,A8,B8,41",0.300564000
7,62500,12,2025-12-30T23:19:24.785557,-63.0,-62.8258,-62.5,1525,"165192,100,8,F3,B1,52,40,F0,F6,BD,41",0.301950000
7,62500,12,2025-12-30T23:19:26.313557,-63.0,-62.9129,-62.8,1528,"166742,100,8,7C,DE,11,40,4B,77,C3,41",0.302544000
7,62500,12,2025-12-30T23:19:27.841557,-63.0,-62.9565,-62.8,1528,"168292,100,8,50,0E,B9,40,5D,0E,C9,41",0.302544000
7,62500,12,2025-12-30T23:19:29.361557,-62.0,-62.4782,-62.8,1520,"169842,100,8,34,95,FF,40,24,A0,CE,41",0.300960000
7,62500,12,2025-12-30T23:19:30.888557,-62.0,-62.2391,-62.5,1527,"171392,100,8,9C,6F,A7,40,BB,10,D4,41",0.302346000
7,62500,12,2025-12-30T23:19:32.408557,-63.0,-62.6196,-62.5,1520,"172942,100,8,CD,E3,05,40,E0,44,D9,41",0.300960000
7,62500,12,2025-12-30T23:19:33.927557,-62.0,-62.3098,-62.2,1519,"174492,100,8,E3,DC,71,40,84,22,DE,41",0.300762000
7,62500,12,2025-12-30T23:19:35.447557,-63.0,-62.6549,-62.5,1520,"176042,100,8,15,B5,F4,40,7C,DD,E2,41",0.300960000
7,62500,12,2025-12-30T23:19:36.970557,-63.0,-62.8274,-62.8,1523,"177592,100,8,F4,E9,DA,40,DD,BC,E6,41",0.301554000
7,62500,12,2025-12-30T23:19:38.502557,-62.0,-62.4137,-62.5,1532,"179142,100,8,94,A3,3E,40,44,02,EA,41",0.303336000
7,62500,12,2025-12-30T23:19:40.023557,-63.0,-62.7069,-62.8,1521,"180692,100,8,B0,32,1E,40,4E,9D,EC,41",0.301158000
