SF,BW,TP,payload,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp
8,500000,22,"1000001,100,8,E0,8F,63,D7,88,91,33,78",37,-62.0,-55.6667,-61.80,-61.8,21.70,24.41,368,2026-02-22T17:01:35.870941
8,500000,22,"1000002,100,8,12,38,37,4A,7A,47,48,5E",37,-61.0,-54.6000,-61.50,-61.5,21.70,24.41,321,2026-02-22T17:01:36.191941
8,500000,22,"1000003,100,8,00,54,1F,EC,CF,9E,D6,DC",37,-62.0,-55.6667,-61.66,-61.6,21.70,24.41,324,2026-02-22T17:01:36.515941
8,500000,22,"1000004,100,8,5D,59,46,A7,D9,AB,B6,02",37,-62.0,-55.6667,-61.76,-61.8,21.70,24.41,351,2026-02-22T17:01:36.866941
8,500000,22,"1000005,100,8,5A,05,6E,9C,B3,BE,C1,3C",37,-62.0,-55.6667,-61.94,-61.8,21.70,24.41,362,2026-02-22T17:01:37.228941
8,500000,22,"1000006,100,8,A9,0A,D9,8A,C4,B6,53,BD",37,-61.0,-54.6000,-61.47,-61.8,21.70,24.41,403,2026-02-22T17:01:37.631941
8,500000,22,"1000007,100,8,87,C3,59,00,0B,93,83,20",37,-61.0,-54.6000,-61.23,-61.5,21.70,24.41,381,2026-02-22T17:01:38.012941
8,500000,22,"1000008,100,8,2C,58,67,B3,65,19,13,F8",37,-62.0,-55.6667,-61.62,-61.5,21.70,24.41,335,2026-02-22T17:01:38.347941
8,500000,22,"1000009,100,8,C7,0D,DB,8D,D8,90,6E,3B",37,-62.0,-55.6667,-61.81,-61.5,21.70,24.41,383,2026-02-22T17:01:38.730941
8,500000,22,"1000010,100,8,23,DF,1D,69,7B,A1,84,C0",37,-61.0,-54.6000,-61.40,-61.5,21.70,24.41,354,2026-02-22T17:01:39.084941
8,500000,22,"1000011,100,8,15,FE,31,7F,F6,E4,74,C4",37,-61.0,-54.6000,-61.20,-61.5,21.70,24.41,363,2026-02-22T17:01:39.447941
8,500000,22,"1000012,100,8,5B,7E,41,E1,CD,77,F7,28",37,-62.0,-55.6667,-61.60,-61.5,21.70,24.41,346,2026-02-22T17:01:39.793941
8,500000,22,"1000013,100,8,1B,7C,6D,7D,B5,10,31,9F",37,-61.0,-54.6000,-61.30,-61.2,21.70,24.41,402,2026-02-22T17:01:40.195941
8,500000,22,"1000014,100,8,67,08,96,33,56,A6,BB,69",37,-61.0,-54.6000,-61.15,-61.2,21.70,24.41,359,2026-02-22T17:01:40.554941
8,500000,22,"1000015,100,8,F4,89,94,5E,10,2C,F2,A2",37,-62.0,-55.6667,-61.58,-61.5,21.70,24.41,380,2026-02-22T17:01:40.934941
8,500000,22,"1000016,100,8,4D,15,85,A9,F7,C6,D6,09",37,-63.0,-56.7333,-62.29,-61.8,21.70,24.41,366,2026-02-22T17:01:41.300941
8,500000,22,"1000017,100,8,3C,52,F2,2E,92,EA,77,51",37,-63.0,-56.7333,-62.64,-62.2,21.70,24.41,372,2026-02-22T17:01:41.672941
8,500000,22,"1000018,100,8,B9,EA,47,85,52,6F,82,DB",37,-62.0,-55.6667,-62.32,-62.5,21.70,24.41,360,2026-02-22T17:01:42.032941
8,500000,22,"1000019,100,8,1A,E3,09,2F,06,29,51,09",37,-62.0,-55.6667,-62.16,-62.5,21.70,24.41,389,2026-02-22T17:01:42.421941
8,500000,22,"1000020,100,8,A1,EB,52,F8,58,C9,9F,C5",37,-61.0,-54.6000,-61.58,-62.0,21.70,24.41,398,2026-02-22T17:01:42.819941
8,500000,22,"1000021,100,8,22,50,C9,86,DC,B2,B2,E3",37,-63.0,-56.7333,-62.29,-62.0,21.70,24.41,357,2026-02-22T17:01:43.176941
8,500000,22,"1000022,100,8,D8,70,A1,C0,86,93,E2,6A",37,-62.0,-55.6667,-62.15,-62.0,21.70,24.41,387,2026-02-22T17:01:43.563941
8,500000,22,"1000023,100,8,AB,2A,06,1D,0B,41,74,F4",37,-61.0,-54.6000,-61.57,-61.8,21.70,24.41,393,2026-02-22T17:01:43.956941
8,500000,22,"1000024,100,8,02,86,31,F8,47,94,BC,2B",37,-62.0,-55.6667,-61.79,-62.0,21.70,24.41,319,2026-02-22T17:01:44.275941
8,500000,22,"1000025,100,8,CC,83,4C,E1,54,D2,A7,9B",37,-63.0,-56.7333,-62.39,-62.0,21.70,24.41,375,2026-02-22T17:01:44.650941
8,500000,22,"1000026,100,8,56,80,3F,78,97,FA,DD,37",37,-62.0,-55.6667,-62.20,-62.0,21.70,24.41,371,2026-02-22T17:01:45.021941
8,500000,22,"1000027,100,8,02,B4,A0,83,F5,FE,FF,F3",37,-62.0,-55.6667,-62.10,-62.2,21.70,24.41,384,2026-02-22T17:01:45.405941
8,500000,22,"1000028,100,8,FB,B2,68,AA,94,D7,F3,D8",37,-61.0,-54.6000,-61.55,-62.0,21.70,24.41,350,2026-02-22T17:01:45.755941
8,500000,22,"1000029,100,8,6D,50,8A,EE,01,E2,97,30",37,-62.0,-55.6667,-61.77,-61.8,21.70,24.41,341,2026-02-22T17:01:46.096941
8,500000,22,"1000030,100,8,9E,C9,CD,54,25,E5,8C,4B",37,-61.0,-54.6000,-61.39,-61.5,21.70,24.41,354,2026-02-22T17:01:46.450941
8,500000,22,"1000031,100,8,AD,BB,7C,9E,08,A6,B4,37",37,-61.0,-54.6000,-61.19,-61.2,21.70,24.41,365,2026-02-22T17:01:46.815941
8,500000,22,"1000032,100,8,65,CD,71,33,E5,7B,C6,F8",37,-60.0,-53.5333,-60.60,-61.0,21.70,24.41,342,2026-02-22T17:01:47.157941
