SF,BW,TP,timestamp,rssi,kalman_rssi,sma_rssi,tx_interval,payload,energy_per_packet_j
7,250000,22,2025-12-16T18:54:46.979487,-43.0,-43.1333,-43.1,399,"787810,100,8,61,6B,D0,40,BD,CF,AE,41",0.158004000
7,250000,22,2025-12-16T18:54:47.381487,-44.0,-43.4663,-43.4,402,"788530,100,8,81,6F,FA,40,28,B3,AC,41",0.159192000
7,250000,22,2025-12-16T18:54:47.782487,-44.0,-43.6404,-43.6,401,"788930,100,8,2D,EA,FF,40,CF,D5,AB,41",0.158796000
7,250000,22,2025-12-16T18:54:48.179487,-43.0,-43.4490,-43.5,397,"789330,100,8,1E,EB,F9,40,CE,B8,AA,41",0.157212000
7,250000,22,2025-12-16T18:54:48.583487,-43.0,-43.3524,-43.5,404,"789730,100,8,D9,B9,E5,40,CA,A7,A9,41",0.159984000
7,250000,22,2025-12-16T18:54:48.983487,-43.0,-43.1762,-43.2,400,"790130,100,8,7B,1C,CF,40,29,E3,A8,41",0.158400000
7,250000,22,2025-12-16T18:54:49.367487,-43.0,-43.0881,-43.0,384,"790530,100,8,C0,D1,AA,40,2C,E8,A7,41",0.152064000
7,250000,22,2025-12-16T18:54:49.776487,-43.0,-43.0440,-43.0,409,"790930,100,8,9C,25,8E,40,88,34,A7,41",0.161964000
7,250000,22,2025-12-16T18:54:50.172487,-43.0,-43.0220,-43.0,396,"791330,100,8,FE,A5,55,40,CB,50,A6,41",0.156816000
7,250000,22,2025-12-16T18:54:50.574487,-43.0,-43.0110,-43.0,402,"791730,100,8,28,CB,1F,40,DA,7A,A5,41",0.159192000
7,250000,22,2025-12-16T18:54:50.967487,-43.0,-43.0055,-43.0,393,"792130,100,8,4E,AD,07,40,A7,E3,A4,41",0.155628000
7,250000,22,2025-12-16T18:54:51.375487,-43.0,-43.0028,-43.0,408,"792530,100,8,D1,4B,01,40,AA,26,A4,41",0.161568000
7,250000,22,2025-12-16T18:54:51.771487,-43.0,-43.0014,-43.0,396,"792930,100,8,F7,05,19,40,5A,78,A3,41",0.156816000
7,250000,22,2025-12-16T18:54:52.164487,-43.0,-43.0007,-43.0,393,"793330,100,8,60,7D,3C,40,6D,FF,A2,41",0.155628000
7,250000,22,2025-12-16T18:54:52.570487,-43.0,-43.0003,-43.0,406,"793730,100,8,B7,58,7D,40,77,6B,A2,41",0.160776000
7,250000,22,2025-12-16T18:54:52.973487,-43.0,-43.0002,-43.0,403,"794130,100,8,70,C4,9A,40,95,06,A2,41",0.159588000
7,250000,22,2025-12-16T18:54:53.363487,-43.0,-43.0001,-43.0,390,"794530,100,8,4C,82,C0,40,B2,8D,A1,41",0.154440000
7,250000,22,2025-12-16T18:54:53.767487,-43.0,-43.0000,-43.0,404,"794930,100,8,40,1E,E1,40,8F,24,A1,41",0.159984000
7,250000,22,2025-12-16T18:54:54.162487,-43.0,-43.0000,-43.0,395,"795330,100,8,22,0E,F3,40,23,E0,A0,41",0.156420000
7,250000,22,2025-12-16T18:54:54.564487,-43.0,-43.0000,-43.0,402,"795730,100,8,3D,3F,FF,40,F1,92,A0,41",0.159192000
7,250000,22,2025-12-16T18:54:54.968487,-43.0,-43.0000,-43.0,404,"796130,100,8,C4,66,FC,40,E5,55,A0,41",0.159984000
7,250000,22,2025-12-16T18:54:55.361487,-43.0,-43.0000,-43.0,393,"796530,100,8,67,94,F0,40,C3,32,A0,41",0.155628000
7,250000,22,2025-12-16T18:54:55.767487,-43.0,-43.0000,-43.0,406,"796930,100,8,FC,E5,D5,40,30,12,A0,41",0.160776000
7,250000,22,2025-12-16T18:54:56.161487,-43.0,-43.0000,-43.0,394,"797330,100,8,2B,B5,B2,40,F8,01,A0,41",0.156024000
7,250000,22,2025-12-16T18:54:56.567487,-44.0,-43.5000,-43.2,406,"797730,100,8,CC,0B,96,40,8D,00,A0,41",0.160776000
7,250000,22,2025-12-16T18:54:56.962487,-43.0,-43.2500,-43.2,395,"798130,100,8,61,4C,63,40,FF,0C,A0,41",0.156420000
7,250000,22,2025-12-16T18:54:57.367487,-43.0,-43.1250,-43.2,405,"798530,100,8,23,C0,35,40,11,21,A0,41",0.160380000
7,250000,22,2025-12-16T18:54:57.760487,-44.0,-43.5625,-43.5,393,"798930,100,8,C6,C7,0C,40,1D,4A,A0,41",0.155628000
7,250000,22,2025-12-16T18:54:58.162487,-44.0,-43.7813,-43.5,402,"799330,100,8,E3,1A,00,40,6D,83,A0,41",0.159192000
7,250000,22,2025-12-16T18:54:58.557487,-44.0,-43.8906,-43.8,395,"799730,100,8,5B,8D,0A,40,07,B9,A0,41",0.156420000
7,250000,22,2025-12-16T18:54:58.960487,-44.0,-43.9453,-44.0,403,"800130,100,8,38,52,31,40,90,0E,A1,41",0.159588000
7,250000,22,2025-12-16T18:54:59.363487,-42.0,-42.9727,-43.5,403,"800530,100,8,B3,9D,6E,40,0B,74,A1,41",0.159588000
7,250000,22,2025-12-16T18:54:59.756487,-44.0,-43.4863,-43.5,393,"800930,100,8,19,D2,92,40,87,CA,A1,41",0.155628000
7,250000,22,2025-12-16T18:55:00.159487,-43.0,-43.2432,-43.2,403,"801330,100,8,29,E4,B8,40,84,4B,A2,41",0.159588000
7,250000,22,2025-12-16T18:55:00.553487,-43.0,-43.1216,-43.0,394,"801730,100,8,33,08,DB,40,F2,DB,A2,41",0.156024000
7,250000,22,2025-12-16T18:55:00.960487,-43.0,-43.0608,-43.2,407,"802130,100,8,8C,C4,EE,40,44,52,A3,41",0.161172000
7,250000,22,2025-12-16T18:55:01.355487,-43.0,-43.0304,-43.0,395,"802530,100,8,AA,EB,FD,40,26,FD,A3,41",0.156420000
7,250000,22,2025-12-16T18:55:01.757487,-43.0,-43.0152,-43.0,402,"802930,100,8,3B,99,FF,40,01,87,A4,41",0.159192000
7,250000,22,2025-12-16T18:55:02.159487,-43.0,-43.0076,-43.0,402,"803330,100,8,05,A3,F4,40,81,4B,A5,41",0.159192000
7,250000,22,2025-12-16T18:55:02.554487,-44.0,-43.5038,-43.2,395,"803730,100,8,11,50,DC,40,37,1E,A6,41",0.156420000
7,250000,22,2025-12-16T18:55:02.957487,-43.0,-43.2519,-43.2,403,"804130,100,8,09,8C,C3,40,60,C5,A6,41",0.159588000
7,250000,22,2025-12-16T18:55:03.360487,-44.0,-43.6259,-43.5,403,"804530,100,8,9B,03,9E,40,23,B0,A7,41",0.159588000
7,250000,22,2025-12-16T18:55:03.758487,-43.0,-43.3130,-43.5,398,"804930,100,8,E2,96,71,40,21,A8,A8,41",0.157608000
7,250000,22,2025-12-16T18:55:04.161487,-42.0,-42.6565,-43.0,403,"805330,100,8,82,4C,41,40,92,6A,A9,41",0.159588000
7,250000,22,2025-12-16T18:55:04.550487,-43.0,-42.8282,-43.0,389,"805730,100,8,8A,1F,13,40,C2,78,AA,41",0.154044000
7,250000,22,2025-12-16T18:55:04.956487,-43.0,-42.9141,-42.8,406,"806130,100,8,B2,3D,00,40,09,93,AB,41",0.160776000
7,250000,22,2025-12-16T18:55:05.359487,-43.0,-42.9571,-42.8,403,"806530,100,8,B3,F6,05,40,69,6E,AC,41",0.159588000
7,250000,22,2025-12-16T18:55:05.760487,-44.0,-43.4785,-43.2,401,"806930,100,8,AB,23,27,40,C1,9C,AD,41",0.158796000
7,250000,22,2025-12-16T18:55:06.154487,-43.0,-43.2393,-43.2,394,"807330,100,8,C8,4C,50,40,A1,86,AE,41",0.156024000
7,250000,22,2025-12-16T18:55:06.553487,-43.0,-43.1196,-43.2,399,"807730,100,8,18,F7,8A,40,8F,C7,AF,41",0.158004000
7,250000,22,2025-12-16T18:55:06.952487,-43.0,-43.0598,-43.2,399,"808130,100,8,F5,19,B1,40,68,12,B1,41",0.158004000
7,250000,22,2025-12-16T18:55:07.358487,-44.0,-43.5299,-43.2,406,"808530,100,8,F6,40,CC,40,BB,10,B2,41",0.160776000
7,250000,22,2025-12-16T18:55:07.756487,-44.0,-43.7650,-43.5,398,"808930,100,8,81,EF,E9,40,A8,6B,B3,41",0.157608000
7,250000,22,2025-12-16T18:55:08.145487,-43.0,-43.3825,-43.5,389,"809330,100,8,D0,F1,FB,40,02,CF,B4,41",0.154044000
7,250000,22,2025-12-16T18:55:08.547487,-43.0,-43.1912,-43.5,402,"809730,100,8,27,FF,FF,40,B6,DE,B5,41",0.159192000
7,250000,22,2025-12-16T18:55:08.946487,-44.0,-43.5956,-43.5,399,"810130,100,8,CB,1B,F8,40,70,4F,B7,41",0.158004000
7,250000,22,2025-12-16T18:55:09.352487,-44.0,-43.7978,-43.5,406,"810530,100,8,5E,4F,E2,40,FF,C6,B8,41",0.160776000
7,250000,22,2025-12-16T18:55:09.746487,-43.0,-43.3989,-43.5,394,"810930,100,8,6E,D5,CA,40,CB,E4,B9,41",0.156024000
7,250000,22,2025-12-16T18:55:10.147487,-43.0,-43.1995,-43.5,401,"811330,100,8,EF,FE,A5,40,DD,66,BB,41",0.158796000
7,250000,22,2025-12-16T18:55:10.540487,-44.0,-43.5997,-43.5,393,"811730,100,8,DA,69,89,40,D6,8B,BC,41",0.155628000
7,250000,22,2025-12-16T18:55:10.945487,-43.0,-43.2999,-43.2,405,"812130,100,8,32,B9,4D,40,87,16,BE,41",0.160380000
7,250000,22,2025-12-16T18:55:11.340487,-43.0,-43.1499,-43.2,395,"812530,100,8,60,A9,1A,40,46,A5,BF,41",0.156420000
7,250000,22,2025-12-16T18:55:11.738487,-43.0,-43.0750,-43.2,398,"812930,100,8,84,33,05,40,9E,D2,C0,41",0.157608000
7,250000,22,2025-12-16T18:55:12.144487,-43.0,-43.0375,-43.0,406,"813330,100,8,69,A9,02,40,EE,66,C2,41",0.160776000
7,250000,22,2025-12-16T18:55:12.545487,-43.0,-43.0187,-43.0,401,"813730,100,8,C0,03,1E,40,8A,FD,C3,41",0.158796000
7,250000,22,2025-12-16T18:55:12.951487,-43.0,-43.0094,-43.0,406,"814130,100,8,EC,B5,43,40,9C,2F,C5,41",0.160776000
7,250000,22,2025-12-16T18:55:13.347487,-43.0,-43.0047,-43.0,396,"814530,100,8,55,41,83,40,A9,C8,C6,41",0.156816000
7,250000,22,2025-12-16T18:55:13.736487,-43.0,-43.0023,-43.0,389,"814930,100,8,79,31,A9,40,36,62,C8,41",0.154044000
7,250000,22,2025-12-16T18:55:14.136487,-43.0,-43.0012,-43.0,400,"815330,100,8,B0,05,C5,40,4E,95,C9,41",0.158400000
7,250000,22,2025-12-16T18:55:14.537487,-43.0,-43.0006,-43.0,401,"815730,100,8,91,97,E4,40,27,2E,CB,41",0.158796000
7,250000,22,2025-12-16T18:55:14.933487,-44.0,-43.5003,-43.2,396,"816130,100,8,89,60,F5,40,F8,5F,CC,41",0.156816000
7,250000,22,2025-12-16T18:55:15.348487,-43.0,-43.2501,-43.2,415,"816530,100,8,1F,BB,FF,40,1B,F6,CD,41",0.164340000
7,250000,22,2025-12-16T18:55:15.737487,-44.0,-43.6251,-43.5,389,"816930,100,8,92,F8,FA,40,CD,89,CF,41",0.154044000
7,250000,22,2025-12-16T18:55:16.134487,-43.0,-43.3125,-43.5,397,"817330,100,8,98,D8,ED,40,96,B6,D0,41",0.157212000
7,250000,22,2025-12-16T18:55:16.548487,-43.0,-43.1563,-43.2,414,"817730,100,8,FC,D2,D1,40,75,44,D2,41",0.163944000
7,250000,22,2025-12-16T18:55:16.948487,-43.0,-43.0781,-43.2,400,"818130,100,8,A5,EF,AD,40,20,CE,D3,41",0.158400000
7,250000,22,2025-12-16T18:55:17.330487,-43.0,-43.0391,-43.0,382,"818530,100,8,88,3E,91,40,3D,F2,D4,41",0.151272000
7,250000,22,2025-12-16T18:55:17.731487,-44.0,-43.5195,-43.2,401,"818930,100,8,34,F0,5A,40,09,73,D6,41",0.158796000
7,250000,22,2025-12-16T18:55:18.141487,-43.0,-43.2598,-43.2,410,"819330,100,8,EF,57,23,40,EB,ED,D7,41",0.162360000
7,250000,22,2025-12-16T18:55:18.544487,-44.0,-43.6299,-43.5,403,"819730,100,8,07,89,09,40,D5,05,D9,41",0.159588000
7,250000,22,2025-12-16T18:55:18.944487,-43.0,-43.3149,-43.5,400,"820130,100,8,56,AB,00,40,E7,74,DA,41",0.158400000
7,250000,22,2025-12-16T18:55:19.343487,-43.0,-43.1575,-43.2,399,"820530,100,8,C1,F2,0D,40,48,83,DB,41",0.158004000
7,250000,22,2025-12-16T18:55:19.745487,-44.0,-43.5787,-43.5,402,"820930,100,8,1C,FB,37,40,BF,E4,DC,41",0.159192000
7,250000,22,2025-12-16T18:55:20.138487,-44.0,-43.7894,-43.5,393,"821330,100,8,EB,7C,77,40,A8,3D,DE,41",0.155628000
7,250000,22,2025-12-16T18:55:20.537487,-44.0,-43.8947,-43.8,399,"821730,100,8,D8,A1,97,40,64,3A,DF,41",0.158004000
7,250000,22,2025-12-16T18:55:20.940487,-44.0,-43.9473,-44.0,403,"822130,100,8,DD,88,BD,40,02,83,E0,41",0.159588000
7,250000,22,2025-12-16T18:55:21.333487,-43.0,-43.4737,-43.8,393,"822530,100,8,31,C6,DE,40,96,C1,E1,41",0.155628000
7,250000,22,2025-12-16T18:55:21.738487,-43.0,-43.2368,-43.5,405,"822930,100,8,47,6F,F1,40,A0,A9,E2,41",0.160380000
7,250000,22,2025-12-16T18:55:22.137487,-43.0,-43.1184,-43.2,399,"823330,100,8,9A,CD,FE,40,6B,D5,E3,41",0.158004000
7,250000,22,2025-12-16T18:55:22.536487,-43.0,-43.0592,-43.0,399,"823730,100,8,4B,34,FD,40,D0,F5,E4,41",0.158004000
7,250000,22,2025-12-16T18:55:22.939487,-43.0,-43.0296,-43.0,403,"824130,100,8,A5,3E,F2,40,59,C6,E5,41",0.159588000
7,250000,22,2025-12-16T18:55:23.339487,-44.0,-43.5148,-43.2,400,"824530,100,8,55,78,D8,40,B2,D1,E6,41",0.158400000
7,250000,22,2025-12-16T18:55:23.727487,-44.0,-43.7574,-43.5,388,"824930,100,8,5B,01,BF,40,F2,91,E7,41",0.153648000
7,250000,22,2025-12-16T18:55:24.134487,-44.0,-43.8787,-43.8,407,"825330,100,8,55,2D,99,40,F0,86,E8,41",0.161172000
7,250000,22,2025-12-16T18:55:24.534487,-43.0,-43.4394,-43.8,400,"825730,100,8,23,DA,68,40,9B,6E,E9,41",0.158400000
7,250000,22,2025-12-16T18:55:24.929487,-43.0,-43.2197,-43.5,395,"826130,100,8,A2,2F,3A,40,65,13,EA,41",0.156420000
7,250000,22,2025-12-16T18:55:25.323487,-44.0,-43.6098,-43.5,394,"826530,100,8,96,21,0F,40,DF,E2,EA,41",0.156024000
7,250000,22,2025-12-16T18:55:25.722487,-43.0,-43.3049,-43.2,399,"826930,100,8,01,00,00,40,10,A4,EB,41",0.158004000
7,250000,22,2025-12-16T18:55:26.122487,-44.0,-43.6525,-43.5,400,"827330,100,8,2E,98,08,40,65,2B,EC,41",0.158400000
7,250000,22,2025-12-16T18:55:26.526487,-44.0,-43.8262,-43.8,404,"827730,100,8,1C,31,2D,40,DA,D2,EC,41",0.159984000
