SF,BW,TP,timestamp,rssi,kalman_rssi,sma_rssi,tx_interval,payload,energy_per_packet_j
9,500000,12,2026-02-22T17:01:36.023421,-63.0,-63.5190,-63.5,631,"1000001,100,8,1E,54,34,E1,D1,8D,3B,49",0.124938000
9,500000,12,2026-02-22T17:01:36.665421,-63.0,-63.3196,-63.4,642,"1000002,100,8,B2,15,AD,54,6B,0F,19,B6",0.127116000
9,500000,12,2026-02-22T17:01:37.285421,-64.0,-63.5416,-63.5,620,"1000003,100,8,EE,BD,BB,86,03,38,A6,8D",0.122760000
9,500000,12,2026-02-22T17:01:37.912421,-63.0,-63.3797,-63.2,627,"1000004,100,8,B1,29,75,06,CC,DF,1E,60",0.124146000
9,500000,12,2026-02-22T17:01:38.546421,-64.0,-63.6562,-63.5,634,"1000005,100,8,52,28,D1,00,81,A3,61,DD",0.125532000
9,500000,12,2026-02-22T17:01:39.156421,-64.0,-63.8281,-63.8,610,"1000006,100,8,44,72,21,23,40,EF,E9,99",0.120780000
9,500000,12,2026-02-22T17:01:39.745421,-66.0,-64.9141,-64.2,589,"1000007,100,8,81,3E,17,07,F1,B1,CD,B4",0.116622000
9,500000,12,2026-02-22T17:01:40.400421,-65.0,-64.9570,-64.8,655,"1000008,100,8,87,47,61,E1,39,2E,7F,5D",0.129690000
9,500000,12,2026-02-22T17:01:41.053421,-64.0,-64.4785,-64.8,653,"1000009,100,8,4F,32,90,BF,10,D2,55,CF",0.129294000
9,500000,12,2026-02-22T17:01:41.658421,-65.0,-64.7393,-65.0,605,"1000010,100,8,AE,A4,6B,9F,53,6E,D5,6D",0.119790000
9,500000,12,2026-02-22T17:01:42.327421,-64.0,-64.3696,-64.5,669,"1000011,100,8,81,14,7E,6E,CD,FA,26,C7",0.132462000
9,500000,12,2026-02-22T17:01:42.922421,-65.0,-64.6848,-64.5,595,"1000012,100,8,DE,24,3B,9D,9A,D2,13,B0",0.117810000
9,500000,12,2026-02-22T17:01:43.548421,-63.0,-63.8424,-64.2,626,"1000013,100,8,78,44,4C,0B,EE,CE,5D,C3",0.123948000
9,500000,12,2026-02-22T17:01:44.191421,-66.0,-64.9212,-64.5,643,"1000014,100,8,48,D7,3E,FC,34,0C,3B,79",0.127314000
9,500000,12,2026-02-22T17:01:44.778421,-65.0,-64.9606,-64.8,587,"1000015,100,8,29,D1,50,05,BE,A3,A8,A9",0.116226000
