SF,BW,TP,timestamp,rssi,kalman_rssi,sma_rssi,tx_interval,payload,energy_per_packet_j
11,500000,2,2025-12-19T22:17:00.738830,-62.0,-62.4095,-62.4,2279,"15925005,100,8,F9,A7,3F,40,09,ED,CA,41",0.248183100
11,500000,2,2025-12-19T22:17:03.011830,-63.0,-62.6364,-62.6,2273,"15933036,100,8,FF,3A,81,40,A7,67,BA,41",0.247529700
11,500000,2,2025-12-19T22:17:05.294830,-62.0,-62.4288,-62.5,2283,"15935316,100,8,C9,F4,04,40,4F,C8,A4,41",0.248618700
11,500000,2,2025-12-19T22:17:07.575830,-63.0,-62.5995,-62.5,2281,"15937596,100,8,88,36,B3,40,67,B7,A1,41",0.248400900
11,500000,2,2025-12-19T22:17:09.852830,-63.0,-62.4403,-62.8,2277,"15939876,100,8,EE,7D,E7,40,1D,24,A0,41",0.247965300
11,500000,2,2025-12-19T22:17:12.135830,-62.0,-62.2202,-62.5,2283,"15942156,100,8,4E,34,09,40,2A,51,A0,41",0.248618700
11,500000,2,2025-12-19T22:17:14.412830,-61.0,-61.6101,-62.2,2277,"15944436,100,8,B2,CA,B4,40,94,3C,A2,41",0.247965300
11,500000,2,2025-12-19T22:17:16.691830,-63.0,-62.3050,-62.2,2279,"15946716,100,8,75,91,EC,40,06,9C,A5,41",0.248183100
11,500000,2,2025-12-19T22:17:18.968830,-64.0,-63.1525,-62.5,2277,"15948996,100,8,74,B7,0E,40,94,9F,AA,41",0.247965300
11,500000,2,2025-12-19T22:17:21.247830,-63.0,-63.0763,-62.8,2279,"15951276,100,8,C1,EE,AC,40,91,ED,B0,41",0.248183100
11,500000,2,2025-12-19T22:17:23.531830,-63.0,-63.0381,-63.2,2284,"15953557,100,8,6E,1D,F1,40,27,E1,B7,41",0.248727600
11,500000,2,2025-12-19T22:17:25.809830,-61.0,-62.0191,-62.8,2278,"15955835,100,8,79,74,15,40,6B,DD,BF,41",0.248074200
11,500000,2,2025-12-19T22:17:28.085830,-62.0,-62.0095,-62.2,2276,"15958115,100,8,EA,FB,A4,40,30,35,C8,41",0.247856400
11,500000,2,2025-12-19T22:17:30.364830,-63.0,-62.5048,-62.2,2279,"15960395,100,8,7C,3D,F0,40,9E,8A,D0,41",0.248183100
11,500000,2,2025-12-19T22:17:32.643830,-63.0,-62.7524,-62.2,2279,"15962675,100,8,6F,5F,1D,40,7C,22,D8,41",0.248183100
11,500000,2,2025-12-19T22:17:34.921830,-63.0,-62.8762,-62.8,2278,"15964955,100,8,40,00,9D,40,02,69,DF,41",0.248074200
11,500000,2,2025-12-19T22:17:37.203830,-64.0,-63.4381,-63.2,2282,"15967235,100,8,79,57,F4,4036,A8,E5,41",0.248509800
11,500000,2,2025-12-19T22:17:39.489830,-62.0,-62.7190,-63.0,2286,"15969515,100,8,51,6A,26,40,01,66,EA,41",0.248945400
11,500000,2,2025-12-19T22:17:41.762830,-63.0,-62.8595,-63.0,2273,"15971795,100,8,E6,09,95,40,F9,E5,ED,41",0.247529700
11,500000,2,2025-12-19T22:17:44.048830,-64.0,-63.4298,-63.2,2286,"15974075,100,8,25,DC,F7,40,A7,BB,EF,41",0.248945400
11,500000,2,2025-12-19T22:17:46.320830,-64.0,-63.7149,-63.2,2272,"15976355,100,8,ED,7F,24,40,69,D2,EF,41",0.247420800
11,500000,2,2025-12-19T22:17:48.600830,-63.0,-63.3574,-63.5,2280,"15978634,100,8,F3,26,8D,40,72,47,EE,41",0.248292000
11,500000,2,2025-12-19T22:17:50.880830,-63.0,-63.1787,-63.5,2280,"15980914,100,8,42,C5,FA,40,C5,04,EB,41",0.248292000
11,500000,2,2025-12-19T22:17:53.159830,-63.0,-63.0894,-63.2,2279,"15983194,100,8,24,65,2E,40,32,38,E6,41",0.248183100
11,500000,2,2025-12-19T22:17:55.445830,-63.0,-63.0447,-63.0,2286,"15985474,100,8,5F,65,85,40,24,69,E0,41",0.248945400
11,500000,2,2025-12-19T22:17:57.723830,-62.0,-62.5223,-62.8,2278,"15987754,100,8,AC,0D,FD,40,D0,44,D9,41",0.248074200
