SF,BW,TP,timestamp,rssi,kalman_rssi,sma_rssi,tx_interval,payload,energy_per_packet_j
11,250000,12,2025-12-14T22:07:18.268365,-49.0,-49.8000,-49.8,4539,"104020515,100,8,7D,62,82,40,DB,73,BA,41",0.898722000
11,250000,12,2025-12-14T22:07:22.803365,-51.0,-50.2610,-50.2,4535,"104028774,100,8,2F,BF,FB,40,C4,92,AC,41",0.897930000
11,250000,12,2025-12-14T22:07:27.341365,-50.0,-50.1759,-50.2,4538,"104033314,100,8,0F,4F,DA,40,CF,15,A0,41",0.898524000
11,250000,12,2025-12-14T22:07:31.872365,-51.0,-50.4221,-50.2,4531,"104037854,100,8,1D,E3,BC,40,6E,5A,A2,41",0.897138000
11,250000,12,2025-12-14T22:07:36.426365,-51.0,-51.0789,-50.8,4554,"104042394,100,8,B9,16,04,40,16,23,AB,41",0.901692000
11,250000,12,2025-12-14T22:07:40.961365,-51.0,-51.0394,-50.8,4535,"104046934,100,8,1B,22,E6,40,6E,91,B8,41",0.897930000
11,250000,12,2025-12-14T22:07:45.503365,-50.0,-50.5197,-50.8,4542,"104051474,100,8,BD,53,AD,40,9D,8E,C8,41",0.899316000
11,250000,12,2025-12-14T22:07:50.035365,-51.0,-50.7599,-50.8,4532,"104056014,100,8,31,17,15,40,28,74,D8,41",0.897336000
11,250000,12,2025-12-14T22:07:54.580365,-50.0,-50.3799,-50.5,4545,"104060554,100,8,57,05,F0,40,EE,E3,E5,41",0.899910000
11,250000,12,2025-12-14T22:07:59.121365,-52.0,-51.1900,-50.8,4541,"104065094,100,8,27,66,9D,40,35,02,EE,41",0.899118000
11,250000,12,2025-12-14T22:08:03.653365,-51.0,-51.0950,-51.0,4532,"104069635,100,8,4C,F0,25,40,A0,D3,EF,41",0.897336000
11,250000,12,2025-12-14T22:08:08.194365,-50.0,-50.5475,-50.8,4541,"104074173,100,8,BC,28,FB,40,08,0B,EB,41",0.899118000
11,250000,12,2025-12-14T22:08:12.730365,-49.0,-49.7737,-50.5,4536,"104078712,100,8,F4,8A,8D,40,0F,22,E0,41",0.898128000
11,250000,12,2025-12-14T22:08:17.266365,-51.0,-50.3869,-50.2,4536,"104083252,100,8,8D,0A,3B,40,D9,6A,D1,41",0.898128000
11,250000,12,2025-12-14T22:08:21.812365,-51.0,-50.6934,-50.2,4546,"104087792,100,8,97,E2,FE,40,04,24,C1,41",0.900108000
11,250000,12,2025-12-14T22:08:26.350365,-52.0,-51.3467,-50.8,4538,"104092332,100,8,79,64,7C,40,03,AB,B1,41",0.898524000
11,250000,12,2025-12-14T22:08:30.885365,-50.0,-50.6734,-51.0,4535,"104096872,100,8,C2,D0,53,40,71,4A,A6,41",0.897930000
11,250000,12,2025-12-14T22:08:35.424365,-51.0,-50.8367,-51.0,4539,"104101412,100,8,A7,FD,FF,40,4B,80,A0,41",0.898722000
11,250000,12,2025-12-14T22:08:39.973365,-50.0,-50.4183,-50.8,4549,"104105952,100,8,25,79,4F,40,3F,42,A1,41",0.900702000
11,250000,12,2025-12-14T22:08:44.505365,-51.0,-50.7092,-50.5,4532,"104110492,100,8,C8,93,6F,40,75,AF,A8,41",0.897336000
11,250000,12,2025-12-14T22:08:49.050365,-51.0,-50.8546,-50.8,4545,"104115033,100,8,1B,72,FE,40,7F,33,B5,41",0.899910000
11,250000,12,2025-12-14T22:08:53.591365,-51.0,-50.9273,-50.8,4541,"104119571,100,8,9B,43,37,40,40,D5,C4,41",0.899118000
11,250000,12,2025-12-14T22:08:58.128365,-50.0,-50.4636,-50.8,4537,"104124111,100,8,43,27,90,40,63,FD,D4,41",0.898326000
11,250000,12,2025-12-14T22:09:02.667365,-48.0,-49.2318,-50.0,4539,"104128651,100,8,DF,4A,FA,40,8A,49,E3,41",0.898722000
11,250000,12,2025-12-14T22:09:07.208365,-50.0,-49.6159,-49.8,4541,"104133191,100,8,B9,D4,22,40,19,AF,EC,41",0.899118000
11,250000,12,2025-12-14T22:09:11.741365,-51.0,-50.3080,-49.8,4533,"104137731,100,8,55,0D,A0,40,00,00,F0,41",0.897534000
11,250000,12,2025-12-14T22:09:16.280365,-51.0,-50.6540,-50.0,4539,"104142271,100,8,50,86,EE,40,8A,AF,EC,41",0.898722000
11,250000,12,2025-12-14T22:09:20.824365,-51.0,-50.8270,-50.8,4544,"104146811,100,8,F4,BC,12,40,23,FF,E2,41",0.899712000
11,250000,12,2025-12-14T22:09:25.359365,-51.0,-50.9135,-51.0,4535,"104151351,100,8,09,F3,AF,40,70,FE,D4,41",0.897930000
11,250000,12,2025-12-14T22:09:29.909365,-51.0,-50.9567,-51.0,4550,"104155891,100,8,78,4B,E4,40,5B,D6,C4,41",0.900900000
