SF,BW,TP,timestamp,rssi,kalman_rssi,sma_rssi,tx_interval,payload,energy_per_packet_j
9,125000,22,2026-02-22T17:01:37.993764,-64.0,-63.9762,-64.0,2479,"1000001,100,8,73,1C,EC,F5,C7,38,2E,B2",0.981684000
9,125000,22,2026-02-22T17:01:40.570764,-63.0,-63.6012,-63.6,2577,"1000002,100,8,7B,E5,A4,90,F6,68,4C,66",1.020492000
9,125000,22,2026-02-22T17:01:43.149764,-64.0,-63.7313,-63.7,2579,"1000003,100,8,B7,77,44,3C,91,A2,46,F2",1.021284000
9,125000,22,2026-02-22T17:01:45.571764,-64.0,-63.8116,-63.8,2422,"1000004,100,8,D9,13,E6,83,06,14,4E,81",0.959112000
9,125000,22,2026-02-22T17:01:47.957764,-62.0,-62.9375,-63.2,2386,"1000005,100,8,11,5C,12,E7,87,33,1B,6E",0.944856000
9,125000,22,2026-02-22T17:01:50.397764,-65.0,-63.9688,-63.8,2440,"1000006,100,8,1D,79,A5,18,52,1D,F4,5D",0.966240000
9,125000,22,2026-02-22T17:01:52.976764,-63.0,-63.4844,-63.5,2579,"1000007,100,8,8C,99,A1,6E,2F,27,88,02",1.021284000
9,125000,22,2026-02-22T17:01:55.550764,-63.0,-63.2422,-63.2,2574,"1000008,100,8,36,C5,A9,5B,AF,3A,45,7D",1.019304000
9,125000,22,2026-02-22T17:01:58.049764,-65.0,-64.1211,-64.0,2499,"1000009,100,8,2E,0B,76,54,59,81,A8,8A",0.989604000
9,125000,22,2026-02-22T17:02:00.443764,-64.0,-64.0605,-63.8,2394,"1000010,100,8,3B,DA,5A,6E,E1,8B,09,B4",0.948024000
9,125000,22,2026-02-22T17:02:02.822764,-63.0,-63.5303,-63.8,2379,"1000011,100,8,D5,F9,51,06,92,D9,06,1A",0.942084000
9,125000,22,2026-02-22T17:02:05.205764,-64.0,-63.7651,-64.0,2383,"1000012,100,8,D0,41,1B,55,99,88,CF,96",0.943668000
9,125000,22,2026-02-22T17:02:07.619764,-64.0,-63.8826,-63.8,2414,"1000013,100,8,95,F4,66,7B,CF,BE,3E,70",0.955944000
9,125000,22,2026-02-22T17:02:10.163764,-63.0,-63.4413,-63.5,2544,"1000014,100,8,9D,65,11,42,12,F8,F5,8F",1.007424000
9,125000,22,2026-02-22T17:02:12.633764,-65.0,-64.2206,-64.0,2470,"1000015,100,8,EB,4E,E5,7F,D0,5C,1D,0B",0.978120000
9,125000,22,2026-02-22T17:02:15.108764,-63.0,-63.6103,-63.8,2475,"1000016,100,8,4E,7E,B0,8B,1E,98,48,96",0.980100000
9,125000,22,2026-02-22T17:02:17.597764,-64.0,-63.8052,-63.8,2489,"1000017,100,8,A5,2E,29,FE,00,4F,30,D0",0.985644000
9,125000,22,2026-02-22T17:02:19.976764,-64.0,-63.9026,-64.0,2379,"1000018,100,8,7B,CC,BC,73,E5,70,E3,B3",0.942084000
9,125000,22,2026-02-22T17:02:22.438764,-63.0,-63.4513,-63.5,2462,"1000019,100,8,02,BF,54,D4,0B,72,CD,BC",0.974952000
