SF,BW,TP,payload,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp
11,125000,12,"1000001,100,8,BB,B7,AA,A9,39,0A,0E,D0",37,-69.0,-63.1333,-69.04,-69.0,295.20,442.81,9063,2026-02-22T17:01:44.607862
11,125000,12,"1000002,100,8,E4,0F,7D,51,12,00,C8,1C",37,-69.0,-63.1333,-69.03,-69.0,295.20,442.81,9162,2026-02-22T17:01:53.769862
11,125000,12,"1000003,100,8,9D,84,BA,B5,EB,51,68,2D",37,-69.0,-63.1333,-69.02,-69.0,295.20,442.81,9090,2026-02-22T17:02:02.859862
11,125000,12,"1000004,100,8,BA,DD,6F,82,1B,D7,CD,8D",37,-68.0,-62.0667,-68.71,-68.8,295.20,442.81,9163,2026-02-22T17:02:12.022862
11,125000,12,"1000005,100,8,60,2E,EE,23,BE,B5,44,80",37,-70.0,-64.2000,-69.25,-69.0,295.20,442.81,9163,2026-02-22T17:02:21.185862
11,125000,12,"1000006,100,8,A2,9B,7D,7A,6D,59,D2,58",37,-69.0,-63.1333,-69.12,-69.0,295.20,442.81,9163,2026-02-22T17:02:30.348862
11,125000,12,"1000007,100,8,BF,5D,3A,6D,59,D2,53,E9",37,-69.0,-63.1333,-69.06,-69.0,295.20,442.81,9021,2026-02-22T17:02:39.369862
11,125000,12,"1000008,100,8,A8,6A,6E,F1,19,74,AE,41",37,-68.0,-62.0667,-68.53,-69.0,295.20,442.81,8976,2026-02-22T17:02:48.345862
11,125000,12,"1000009,100,8,06,24,48,FE,6D,0D,F8,74",37,-70.0,-64.2000,-69.27,-69.0,295.20,442.81,8976,2026-02-22T17:02:57.321862
11,125000,12,"1000010,100,8,7C,57,A5,1C,42,B7,AE,55",37,-69.0,-63.1333,-69.13,-69.0,295.20,442.81,9163,2026-02-22T17:03:06.484862
11,125000,12,"1000011,100,8,DC,14,C3,5C,B2,E6,8E,4C",37,-69.0,-63.1333,-69.07,-69.0,295.20,442.81,9163,2026-02-22T17:03:15.647862
11,125000,12,"1000012,100,8,1E,A9,87,A4,37,EE,D2,09",37,-69.0,-63.1333,-69.03,-69.2,295.20,442.81,8976,2026-02-22T17:03:24.623862
11,125000,12,"1000013,100,8,12,2A,AD,76,89,22,D0,6C",37,-68.0,-62.0667,-68.52,-68.8,295.20,442.81,9008,2026-02-22T17:03:33.631862
11,125000,12,"1000014,100,8,8F,EB,A4,0A,76,20,C9,E4",37,-70.0,-64.2000,-69.26,-69.0,295.20,442.81,8976,2026-02-22T17:03:42.607862
11,125000,12,"1000015,100,8,52,42,C1,4A,25,1C,80,86",37,-70.0,-64.2000,-69.63,-69.2,295.20,442.81,9148,2026-02-22T17:03:51.755862
11,125000,12,"1000016,100,8,B1,2C,FC,CD,45,D1,F5,89",37,-69.0,-63.1333,-69.31,-69.2,295.20,442.81,9009,2026-02-22T17:04:00.764862
11,125000,12,"1000017,100,8,96,74,E6,E2,35,CD,38,F2",37,-69.0,-63.1333,-69.16,-69.5,295.20,442.81,8976,2026-02-22T17:04:09.740862
11,125000,12,"1000018,100,8,B6,B7,F1,CB,EB,55,32,5F",37,-68.0,-62.0667,-68.58,-69.0,295.20,442.81,9163,2026-02-22T17:04:18.903862
11,125000,12,"1000019,100,8,D0,29,D2,31,53,63,16,A5",37,-70.0,-64.2000,-69.29,-69.0,295.20,442.81,9163,2026-02-22T17:04:28.066862
11,125000,12,"1000020,100,8,3E,77,D8,99,4E,AA,D8,7F",37,-70.0,-64.2000,-69.64,-69.2,295.20,442.81,8976,2026-02-22T17:04:37.042862
11,125000,12,"1000021,100,8,A6,C3,70,CE,B5,F4,CC,03",37,-69.0,-63.1333,-69.32,-69.2,295.20,442.81,8976,2026-02-22T17:04:46.018862
11,125000,12,"1000022,100,8,93,FD,AA,6B,55,7E,7C,54",37,-68.0,-62.0667,-68.66,-69.2,295.20,442.81,9163,2026-02-22T17:04:55.181862
11,125000,12,"1000023,100,8,99,F2,3C,22,C2,F2,B0,F4",37,-68.0,-62.0667,-68.33,-68.8,295.20,442.81,9163,2026-02-22T17:05:04.344862
11,125000,12,"1000024,100,8,D5,CB,75,89,61,69,85,AA",37,-71.0,-65.2667,-69.67,-69.0,295.20,442.81,8976,2026-02-22T17:05:13.320862
11,125000,12,"1000025,100,8,25,B8,F3,2B,A3,59,38,32",37,-67.0,-61.0000,-68.33,-68.5,295.20,442.81,8976,2026-02-22T17:05:22.296862
11,125000,12,"1000026,100,8,87,58,D9,1D,E3,12,F6,14",37,-69.0,-63.1333,-68.67,-68.8,295.20,442.81,9163,2026-02-22T17:05:31.459862
11,125000,12,"1000027,100,8,BA,0F,3E,3A,F7,EE,6B,EB",37,-70.0,-64.2000,-69.33,-69.2,295.20,442.81,8976,2026-02-22T17:05:40.435862
11,125000,12,"1000028,100,8,BB,7A,64,6F,EC,8B,11,8C",37,-71.0,-65.2667,-70.17,-69.2,295.20,442.81,8976,2026-02-22T17:05:49.411862
11,125000,12,"1000029,100,8,80,8E,02,FB,CE,68,81,0F",37,-70.0,-64.2000,-70.08,-70.0,295.20,442.81,8976,2026-02-22T17:05:58.387862
11,125000,12,"1000030,100,8,4D,0F,A0,D0,6E,6C,E1,D3",37,-70.0,-64.2000,-70.04,-70.2,295.20,442.81,9163,2026-02-22T17:06:07.550862
11,125000,12,"1000031,100,8,47,95,0A,FD,EC,DC,D0,39",37,-71.0,-65.2667,-70.52,-70.5,295.20,442.81,9114,2026-02-22T17:06:16.664862
11,125000,12,"1000032,100,8,F2,51,37,AC,F2,2F,12,0D",37,-69.0,-63.1333,-69.76,-70.0,295.20,442.81,8976,2026-02-22T17:06:25.640862
11,125000,12,"1000033,100,8,C1,CA,74,03,C9,DB,C8,58",37,-68.0,-62.0667,-68.88,-69.5,295.20,442.81,9163,2026-02-22T17:06:34.803862
11,125000,12,"1000034,100,8,E0,B3,50,5F,CF,42,EA,C1",37,-69.0,-63.1333,-68.94,-69.2,295.20,442.81,8976,2026-02-22T17:06:43.779862
11,125000,12,"1000035,100,8,82,FC,FF,90,B0,8A,8B,0B",37,-69.0,-63.1333,-68.97,-68.8,295.20,442.81,9163,2026-02-22T17:06:52.942862
11,125000,12,"1000036,100,8,39,64,88,A8,45,D6,DB,BE",37,-68.0,-62.0667,-68.48,-68.5,295.20,442.81,9163,2026-02-22T17:07:02.105862
11,125000,12,"1000037,100,8,29,C8,4D,4B,29,32,1C,D4",37,-69.0,-63.1333,-68.74,-68.8,295.20,442.81,9163,2026-02-22T17:07:11.268862
11,125000,12,"1000038,100,8,21,A5,E7,9A,38,16,A2,B7",37,-69.0,-63.1333,-68.87,-68.8,295.20,442.81,9160,2026-02-22T17:07:20.428862
11,125000,12,"1000039,100,8,5A,F2,C2,EF,EE,4C,26,05",37,-69.0,-63.1333,-68.94,-68.8,295.20,442.81,9163,2026-02-22T17:07:29.591862
11,125000,12,"1000040,100,8,DE,62,27,92,0D,CD,7E,E0",37,-69.0,-63.1333,-68.97,-69.0,295.20,442.81,8976,2026-02-22T17:07:38.567862
11,125000,12,"1000041,100,8,DE,28,A8,BB,73,1A,22,0D",37,-70.0,-64.2000,-69.48,-69.2,295.20,442.81,9163,2026-02-22T17:07:47.730862
11,125000,12,"1000042,100,8,37,B5,A0,D4,84,3B,F1,E6",37,-71.0,-65.2667,-70.24,-69.8,295.20,442.81,8976,2026-02-22T17:07:56.706862
11,125000,12,"1000043,100,8,0F,EA,96,3F,22,64,C5,BD",37,-70.0,-64.2000,-70.12,-70.0,295.20,442.81,8976,2026-02-22T17:08:05.682862
11,125000,12,"1000044,100,8,8B,04,63,7C,8B,D6,9A,9B",37,-69.0,-63.1333,-69.56,-70.0,295.20,442.81,9163,2026-02-22T17:08:14.845862
11,125000,12,"1000045,100,8,D2,64,ED,B3,88,C6,70,6F",37,-69.0,-63.1333,-69.28,-69.8,295.20,442.81,8976,2026-02-22T17:08:23.821862
11,125000,12,"1000046,100,8,A0,8C,B7,BA,17,99,A3,AC",37,-68.0,-62.0667,-68.64,-69.0,295.20,442.81,8976,2026-02-22T17:08:32.797862
11,125000,12,"1000047,100,8,31,C3,7E,A8,D8,68,3A,8B",37,-69.0,-63.1333,-68.82,-68.8,295.20,442.81,8976,2026-02-22T17:08:41.773862
11,125000,12,"1000048,100,8,1F,66,66,FE,37,BC,1A,76",37,-69.0,-63.1333,-68.91,-68.8,295.20,442.81,8976,2026-02-22T17:08:50.749862
11,125000,12,"1000049,100,8,8B,B4,5C,C4,E3,85,D4,FB",37,-70.0,-64.2000,-69.45,-69.0,295.20,442.81,8976,2026-02-22T17:08:59.725862
11,125000,12,"1000050,100,8,13,4D,15,0C,38,15,4C,64",37,-70.0,-64.2000,-69.73,-69.5,295.20,442.81,8976,2026-02-22T17:09:08.701862
11,125000,12,"1000051,100,8,EC,52,1F,24,5E,9E,8A,BE",37,-68.0,-62.0667,-68.86,-69.2,295.20,442.81,9163,2026-02-22T17:09:17.864862
11,125000,12,"1000052,100,8,71,08,83,76,62,C8,7A,18",37,-69.0,-63.1333,-68.93,-69.2,295.20,442.81,9163,2026-02-22T17:09:27.027862
11,125000,12,"1000053,100,8,2D,D6,8D,14,43,B7,3B,89",37,-68.0,-62.0667,-68.47,-68.8,295.20,442.81,8976,2026-02-22T17:09:36.003862
11,125000,12,"1000054,100,8,02,63,0A,0C,4B,DE,C2,AD",37,-68.0,-62.0667,-68.23,-68.2,295.20,442.81,9163,2026-02-22T17:09:45.166862
11,125000,12,"1000055,100,8,A6,06,47,67,BC,EC,F0,06",37,-68.0,-62.0667,-68.12,-68.2,295.20,442.81,8976,2026-02-22T17:09:54.142862
11,125000,12,"1000056,100,8,D4,E5,B9,CE,D0,32,DC,8E",37,-70.0,-64.2000,-69.06,-68.5,295.20,442.81,8976,2026-02-22T17:10:03.118862
11,125000,12,"1000057,100,8,B7,D8,D6,32,89,54,9D,CF",37,-70.0,-64.2000,-69.53,-69.0,295.20,442.81,8976,2026-02-22T17:10:12.094862
11,125000,12,"1000058,100,8,12,64,B2,D3,60,DA,7E,7A",37,-69.0,-63.1333,-69.26,-69.2,295.20,442.81,8976,2026-02-22T17:10:21.070862
11,125000,12,"1000059,100,8,0B,2D,91,B0,A2,7D,99,C8",37,-69.0,-63.1333,-69.13,-69.5,295.20,442.81,9163,2026-02-22T17:10:30.233862
11,125000,12,"1000060,100,8,A1,5D,06,64,58,63,69,63",37,-70.0,-64.2000,-69.57,-69.5,295.20,442.81,9163,2026-02-22T17:10:39.396862
11,125000,12,"1000061,100,8,78,EC,CC,05,B7,81,63,29",37,-71.0,-65.2667,-70.28,-69.8,295.20,442.81,8976,2026-02-22T17:10:48.372862
11,125000,12,"1000062,100,8,A6,77,0C,FE,F3,02,E4,99",37,-70.0,-64.2000,-70.14,-70.0,295.20,442.81,8976,2026-02-22T17:10:57.348862
11,125000,12,"1000063,100,8,A7,51,92,14,D9,E8,65,44",37,-69.0,-63.1333,-69.57,-70.0,295.20,442.81,9163,2026-02-22T17:11:06.511862
11,125000,12,"1000064,100,8,9E,AD,61,96,66,E8,15,80",37,-69.0,-63.1333,-69.29,-69.8,295.20,442.81,9163,2026-02-22T17:11:15.674862
11,125000,12,"1000065,100,8,64,3F,62,E5,40,AD,14,A9",37,-71.0,-65.2667,-70.14,-69.8,295.20,442.81,9163,2026-02-22T17:11:24.837862
11,125000,12,"1000066,100,8,BE,A7,7A,96,42,1B,FF,22",37,-68.0,-62.0667,-69.07,-69.2,295.20,442.81,9163,2026-02-22T17:11:34.000862
11,125000,12,"1000067,100,8,AC,40,7D,8C,7E,08,54,F0",37,-70.0,-64.2000,-69.54,-69.5,295.20,442.81,8976,2026-02-22T17:11:42.976862
11,125000,12,"1000068,100,8,F5,45,9E,1A,00,F6,A9,D3",37,-68.0,-62.0667,-68.77,-69.2,295.20,442.81,9163,2026-02-22T17:11:52.139862
11,125000,12,"1000069,100,8,0D,6D,D9,34,6C,0A,C2,57",37,-68.0,-62.0667,-68.38,-68.5,295.20,442.81,9163,2026-02-22T17:12:01.302862
11,125000,12,"1000070,100,8,62,0E,68,F0,AB,63,4E,7B",37,-70.0,-64.2000,-69.19,-69.0,295.20,442.81,8976,2026-02-22T17:12:10.278862
11,125000,12,"1000071,100,8,59,6B,D1,85,00,35,D9,8A",37,-68.0,-62.0667,-68.60,-68.5,295.20,442.81,9114,2026-02-22T17:12:19.392862
11,125000,12,"1000072,100,8,B0,C3,23,9E,63,16,81,FB",37,-68.0,-62.0667,-68.30,-68.5,295.20,442.81,8976,2026-02-22T17:12:28.368862
11,125000,12,"1000073,100,8,F3,A7,33,52,12,18,BF,02",37,-68.0,-62.0667,-68.15,-68.5,295.20,442.81,8976,2026-02-22T17:12:37.344862
11,125000,12,"1000074,100,8,DA,41,CD,FE,5F,12,B0,F8",37,-68.0,-62.0667,-68.07,-68.0,295.20,442.81,9022,2026-02-22T17:12:46.366862
11,125000,12,"1000075,100,8,A0,20,33,EE,8F,01,52,81",37,-69.0,-63.1333,-68.54,-68.2,295.20,442.81,8976,2026-02-22T17:12:55.342862
11,125000,12,"1000076,100,8,6F,DD,BF,79,D9,D8,4F,88",37,-68.0,-62.0667,-68.27,-68.2,295.20,442.81,9149,2026-02-22T17:13:04.491862
11,125000,12,"1000077,100,8,F5,9D,B0,7D,F1,9F,81,8F",37,-69.0,-63.1333,-68.63,-68.5,295.20,442.81,9163,2026-02-22T17:13:13.654862
11,125000,12,"1000078,100,8,89,9E,BE,91,A5,84,6F,43",37,-70.0,-64.2000,-69.32,-69.0,295.20,442.81,9057,2026-02-22T17:13:22.711862
11,125000,12,"1000079,100,8,D6,76,26,E4,CB,63,91,FB",37,-69.0,-63.1333,-69.16,-69.0,295.20,442.81,9163,2026-02-22T17:13:31.874862
11,125000,12,"1000080,100,8,42,BC,A0,00,3C,A1,06,57",37,-68.0,-62.0667,-68.58,-69.0,295.20,442.81,9163,2026-02-22T17:13:41.037862
11,125000,12,"1000081,100,8,26,42,CD,DA,2B,99,F1,78",37,-68.0,-62.0667,-68.29,-68.8,295.20,442.81,9163,2026-02-22T17:13:50.200862
11,125000,12,"1000082,100,8,A2,2A,CB,B7,87,13,CD,B7",37,-69.0,-63.1333,-68.64,-68.5,295.20,442.81,9157,2026-02-22T17:13:59.357862
11,125000,12,"1000083,100,8,86,11,D1,2D,FA,6A,7D,6E",37,-68.0,-62.0667,-68.32,-68.2,295.20,442.81,8976,2026-02-22T17:14:08.333862
11,125000,12,"1000084,100,8,98,21,22,B0,A1,C7,64,8E",37,-71.0,-65.2667,-69.66,-69.0,295.20,442.81,8976,2026-02-22T17:14:17.309862
11,125000,12,"1000085,100,8,EF,B7,D1,5C,8E,3D,77,96",37,-71.0,-65.2667,-70.33,-69.8,295.20,442.81,8976,2026-02-22T17:14:26.285862
11,125000,12,"1000086,100,8,12,E7,81,BB,FC,D8,91,7C",37,-69.0,-63.1333,-69.67,-69.8,295.20,442.81,8976,2026-02-22T17:14:35.261862
11,125000,12,"1000087,100,8,40,2F,8A,6A,13,17,70,DD",37,-67.0,-61.0000,-68.33,-69.5,295.20,442.81,8976,2026-02-22T17:14:44.237862
11,125000,12,"1000088,100,8,67,4E,8B,CF,0E,1E,BC,98",37,-69.0,-63.1333,-68.67,-69.0,295.20,442.81,9163,2026-02-22T17:14:53.400862
11,125000,12,"1000089,100,8,72,D2,B5,2F,D5,A3,A3,6C",37,-69.0,-63.1333,-68.83,-68.5,295.20,442.81,9143,2026-02-22T17:15:02.543862
11,125000,12,"1000090,100,8,61,F5,29,4C,EE,8D,C7,19",37,-70.0,-64.2000,-69.42,-68.8,295.20,442.81,9163,2026-02-22T17:15:11.706862
11,125000,12,"1000091,100,8,04,FB,D2,C1,73,4B,10,CA",37,-69.0,-63.1333,-69.21,-69.2,295.20,442.81,9017,2026-02-22T17:15:20.723862
11,125000,12,"1000092,100,8,4D,D2,09,0A,46,F5,E4,C8",37,-70.0,-64.2000,-69.60,-69.5,295.20,442.81,8976,2026-02-22T17:15:29.699862
11,125000,12,"1000093,100,8,B1,D6,6A,73,10,69,B3,29",37,-68.0,-62.0667,-68.80,-69.2,295.20,442.81,9163,2026-02-22T17:15:38.862862
11,125000,12,"1000094,100,8,0B,5D,DC,CC,AD,C9,A9,70",37,-70.0,-64.2000,-69.40,-69.2,295.20,442.81,9036,2026-02-22T17:15:47.898862
11,125000,12,"1000095,100,8,7B,BC,F9,42,30,D4,97,81",37,-70.0,-64.2000,-69.70,-69.5,295.20,442.81,8976,2026-02-22T17:15:56.874862
11,125000,12,"1000096,100,8,62,46,F6,AE,B0,F9,03,70",37,-69.0,-63.1333,-69.35,-69.2,295.20,442.81,8976,2026-02-22T17:16:05.850862
11,125000,12,"1000097,100,8,71,9B,C4,ED,75,04,41,09",37,-68.0,-62.0667,-68.68,-69.2,295.20,442.81,9070,2026-02-22T17:16:14.920862
11,125000,12,"1000098,100,8,BA,8C,FF,B5,34,B9,11,D1",37,-69.0,-63.1333,-68.84,-69.0,295.20,442.81,8976,2026-02-22T17:16:23.896862
11,125000,12,"1000099,100,8,35,1F,F8,F0,4A,39,13,5E",37,-68.0,-62.0667,-68.42,-68.5,295.20,442.81,8976,2026-02-22T17:16:32.872862
11,125000,12,"1000100,100,8,8F,48,AE,DE,4D,EB,AD,7D",37,-69.0,-63.1333,-68.71,-68.5,295.20,442.81,8976,2026-02-22T17:16:41.848862
