SF,BW,TP,payload,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp
11,250000,22,"1000001,100,8,33,99,C2,76,DE,6C,15,99",37,-64.0,-57.8000,-63.86,-63.9,269.28,302.94,4539,2026-02-22T17:01:40.091117
11,250000,22,"1000002,100,8,1F,5F,9E,FE,9C,D1,28,AC",37,-62.0,-55.6667,-63.14,-63.2,269.28,302.94,4440,2026-02-22T17:01:44.531117
11,250000,22,"1000003,100,8,8B,95,79,08,9B,C1,A5,71",37,-63.0,-56.7333,-63.10,-63.2,269.28,302.94,4639,2026-02-22T17:01:49.170117
11,250000,22,"1000004,100,8,E1,29,FD,EC,26,CF,A8,FA",37,-63.0,-56.7333,-63.07,-63.0,269.28,302.94,4440,2026-02-22T17:01:53.610117
11,250000,22,"1000005,100,8,86,C8,B4,A8,72,C0,0E,90",37,-65.0,-58.8667,-64.00,-63.2,269.28,302.94,4639,2026-02-22T17:01:58.249117
11,250000,22,"1000006,100,8,43,2E,5F,0C,5A,F3,33,C0",37,-64.0,-57.8000,-64.00,-63.8,269.28,302.94,4639,2026-02-22T17:02:02.888117
11,250000,22,"1000007,100,8,4E,59,00,FE,1D,DF,A7,1D",37,-63.0,-56.7333,-63.50,-63.8,269.28,302.94,4593,2026-02-22T17:02:07.481117
11,250000,22,"1000008,100,8,FE,C7,A3,D1,49,61,DD,7E",37,-63.0,-56.7333,-63.25,-63.8,269.28,302.94,4440,2026-02-22T17:02:11.921117
11,250000,22,"1000009,100,8,A4,1C,FE,1B,88,A6,6D,73",37,-65.0,-58.8667,-64.12,-63.8,269.28,302.94,4465,2026-02-22T17:02:16.386117
11,250000,22,"1000010,100,8,48,45,83,38,E8,BA,F2,C0",37,-63.0,-56.7333,-63.56,-63.5,269.28,302.94,4499,2026-02-22T17:02:20.885117
11,250000,22,"1000011,100,8,0B,57,2D,37,E4,0D,C8,11",37,-63.0,-56.7333,-63.28,-63.5,269.28,302.94,4440,2026-02-22T17:02:25.325117
11,250000,22,"1000012,100,8,BE,F3,3F,1B,AC,22,C7,53",37,-64.0,-57.8000,-63.64,-63.8,269.28,302.94,4450,2026-02-22T17:02:29.775117
11,250000,22,"1000013,100,8,64,7E,20,C0,29,6A,2A,F7",37,-63.0,-56.7333,-63.32,-63.2,269.28,302.94,4639,2026-02-22T17:02:34.414117
11,250000,22,"1000014,100,8,69,52,9F,FE,08,2E,80,76",37,-63.0,-56.7333,-63.16,-63.2,269.28,302.94,4511,2026-02-22T17:02:38.925117
11,250000,22,"1000015,100,8,2C,73,4C,5E,0B,4E,6E,81",37,-65.0,-58.8667,-64.08,-63.8,269.28,302.94,4530,2026-02-22T17:02:43.455117
11,250000,22,"1000016,100,8,7B,60,26,8E,94,55,D2,8B",37,-64.0,-57.8000,-64.04,-63.8,269.28,302.94,4497,2026-02-22T17:02:47.952117
11,250000,22,"1000017,100,8,00,8A,4C,18,67,80,E8,AC",37,-63.0,-56.7333,-63.52,-63.8,269.28,302.94,4440,2026-02-22T17:02:52.392117
11,250000,22,"1000018,100,8,78,40,98,13,5E,93,63,25",37,-63.0,-56.7333,-63.26,-63.8,269.28,302.94,4599,2026-02-22T17:02:56.991117
11,250000,22,"1000019,100,8,6C,65,6B,E5,C8,84,56,84",37,-64.0,-57.8000,-63.63,-63.5,269.28,302.94,4504,2026-02-22T17:03:01.495117
11,250000,22,"1000020,100,8,35,ED,FF,9C,65,14,72,3D",37,-63.0,-56.7333,-63.31,-63.2,269.28,302.94,4525,2026-02-22T17:03:06.020117
11,250000,22,"1000021,100,8,3B,67,66,09,CF,98,8C,B1",37,-63.0,-56.7333,-63.16,-63.2,269.28,302.94,4440,2026-02-22T17:03:10.460117
11,250000,22,"1000022,100,8,90,6C,A4,CA,35,A9,D4,C5",37,-65.0,-58.8667,-64.08,-63.8,269.28,302.94,4440,2026-02-22T17:03:14.900117
11,250000,22,"1000023,100,8,C0,4A,58,16,4C,D6,27,57",37,-65.0,-58.8667,-64.54,-64.0,269.28,302.94,4440,2026-02-22T17:03:19.340117
11,250000,22,"1000024,100,8,CA,5F,D2,A3,A2,57,09,2D",37,-62.0,-55.6667,-63.27,-63.8,269.28,302.94,4555,2026-02-22T17:03:23.895117
11,250000,22,"1000025,100,8,8B,2D,F9,30,34,E7,AA,7A",37,-64.0,-57.8000,-63.63,-64.0,269.28,302.94,4491,2026-02-22T17:03:28.386117
11,250000,22,"1000026,100,8,AC,FE,59,9A,FF,B1,52,5B",37,-62.0,-55.6667,-62.82,-63.2,269.28,302.94,4627,2026-02-22T17:03:33.013117
11,250000,22,"1000027,100,8,E5,1F,E9,4C,E1,74,79,1E",37,-63.0,-56.7333,-62.91,-62.8,269.28,302.94,4514,2026-02-22T17:03:37.527117
11,250000,22,"1000028,100,8,68,C8,BB,08,F3,B3,1B,B7",37,-64.0,-57.8000,-63.45,-63.2,269.28,302.94,4440,2026-02-22T17:03:41.967117
11,250000,22,"1000029,100,8,F8,93,DE,2F,DE,6F,C6,9D",37,-64.0,-57.8000,-63.73,-63.2,269.28,302.94,4639,2026-02-22T17:03:46.606117
11,250000,22,"1000030,100,8,8F,01,CE,C8,1C,7F,E9,6A",37,-65.0,-58.8667,-64.36,-64.0,269.28,302.94,4611,2026-02-22T17:03:51.217117
11,250000,22,"1000031,100,8,21,E9,4D,F1,B7,D7,D3,72",37,-64.0,-57.8000,-64.18,-64.2,269.28,302.94,4639,2026-02-22T17:03:55.856117
11,250000,22,"1000032,100,8,DD,5D,A7,07,BF,E8,64,38",37,-65.0,-58.8667,-64.59,-64.5,269.28,302.94,4639,2026-02-22T17:04:00.495117
11,250000,22,"1000033,100,8,5B,11,9C,2F,EC,45,69,D1",37,-63.0,-56.7333,-63.80,-64.2,269.28,302.94,4493,2026-02-22T17:04:04.988117
11,250000,22,"1000034,100,8,41,F0,D9,E8,3A,E9,AF,CE",37,-66.0,-59.9333,-64.90,-64.5,269.28,302.94,4440,2026-02-22T17:04:09.428117
11,250000,22,"1000035,100,8,99,69,32,35,94,54,26,3E",37,-63.0,-56.7333,-63.95,-64.2,269.28,302.94,4440,2026-02-22T17:04:13.868117
11,250000,22,"1000036,100,8,7A,45,E7,2F,BB,8F,E4,9E",37,-66.0,-59.9333,-64.97,-64.5,269.28,302.94,4479,2026-02-22T17:04:18.347117
11,250000,22,"1000037,100,8,C8,2A,A9,7E,49,82,6B,E9",37,-64.0,-57.8000,-64.49,-64.8,269.28,302.94,4620,2026-02-22T17:04:22.967117
11,250000,22,"1000038,100,8,C8,2D,5A,7D,E0,28,54,76",37,-63.0,-56.7333,-63.74,-64.0,269.28,302.94,4564,2026-02-22T17:04:27.531117
11,250000,22,"1000039,100,8,13,48,F2,4E,A0,57,EE,D1",37,-63.0,-56.7333,-63.37,-64.0,269.28,302.94,4440,2026-02-22T17:04:31.971117
11,250000,22,"1000040,100,8,3E,C0,DC,95,E3,D7,8C,DB",37,-64.0,-57.8000,-63.69,-63.5,269.28,302.94,4639,2026-02-22T17:04:36.610117
11,250000,22,"1000041,100,8,9C,BC,B1,3B,F0,CF,48,8E",37,-64.0,-57.8000,-63.84,-63.5,269.28,302.94,4440,2026-02-22T17:04:41.050117
11,250000,22,"1000042,100,8,DA,17,70,CD,99,75,79,86",37,-63.0,-56.7333,-63.42,-63.5,269.28,302.94,4639,2026-02-22T17:04:45.689117
11,250000,22,"1000043,100,8,1F,09,88,95,43,EE,13,B2",37,-64.0,-57.8000,-63.71,-63.8,269.28,302.94,4639,2026-02-22T17:04:50.328117
11,250000,22,"1000044,100,8,79,0C,07,16,D8,5B,F1,DF",37,-63.0,-56.7333,-63.36,-63.5,269.28,302.94,4440,2026-02-22T17:04:54.768117
11,250000,22,"1000045,100,8,66,7C,81,AD,3A,94,C6,DC",37,-64.0,-57.8000,-63.68,-63.5,269.28,302.94,4440,2026-02-22T17:04:59.208117
11,250000,22,"1000046,100,8,04,93,0C,75,50,09,5C,67",37,-65.0,-58.8667,-64.34,-64.0,269.28,302.94,4440,2026-02-22T17:05:03.648117
