file_path,file_name,outlier_type,row_number,details
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF7\SF7_BW250000_TP2.csv,SF7_BW250000_TP2.csv,tx_interval_outlier,4,"time_ms=498.0,mz=22.93,dev=99.73"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF7\SF7_BW500000_TP12.csv,SF7_BW500000_TP12.csv,tx_interval_outlier,8,"time_ms=200.0,mz=5.40,dev=7.62"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF7\SF7_BW500000_TP12.csv,SF7_BW500000_TP12.csv,tx_interval_outlier,42,"time_ms=197.0,mz=7.42,dev=10.62"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF7\SF7_BW500000_TP12.csv,SF7_BW500000_TP12.csv,tx_interval_outlier,48,"time_ms=200.0,mz=5.40,dev=7.62"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF7\SF7_BW500000_TP12.csv,SF7_BW500000_TP12.csv,tx_interval_outlier,72,"time_ms=200.0,mz=5.40,dev=7.62"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF7\SF7_BW500000_TP12.csv,SF7_BW500000_TP12.csv,payload_invalid,44,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF7\SF7_BW500000_TP2.csv,SF7_BW500000_TP2.csv,tx_interval_outlier,26,"time_ms=200.0,mz=5.40,dev=7.53"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF7\SF7_BW500000_TP2.csv,SF7_BW500000_TP2.csv,tx_interval_outlier,39,"time_ms=200.0,mz=5.40,dev=7.53"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF7\SF7_BW500000_TP22.csv,SF7_BW500000_TP22.csv,tx_interval_outlier,17,"time_ms=200.0,mz=5.40,dev=8.37"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF7\SF7_BW500000_TP22.csv,SF7_BW500000_TP22.csv,tx_interval_outlier,42,"time_ms=198.0,mz=6.75,dev=10.37"
