SF,BW,TP,timestamp,rssi,kalman_rssi,sma_rssi,tx_interval,payload,energy_per_packet_j
8,62500,12,2025-12-21T15:42:03.479289,-63.0,-63.2476,-63.3,2889,"86221492,100,8,63,92,AA,40,25,2D,EE,41",0.572022000
8,62500,12,2025-12-21T15:42:06.371289,-63.0,-63.1525,-63.2,2892,"86226450,100,8,D6,20,C8,40,7B,F6,EF,41",0.572616000
8,62500,12,2025-12-21T15:42:09.257289,-63.0,-63.1027,-63.1,2886,"86229339,100,8,D5,CA,EC,40,06,BC,EC,41",0.571428000
8,62500,12,2025-12-21T15:42:12.146289,-64.0,-63.3709,-63.2,2889,"86232228,100,8,99,CA,77,40,2A,6E,E7,41",0.572022000
8,62500,12,2025-12-21T15:42:15.035289,-64.0,-64.0344,-63.5,2889,"86235117,100,8,1A,15,91,40,70,03,E0,41",0.572022000
8,62500,12,2025-12-21T15:42:17.921289,-63.0,-63.5172,-63.5,2886,"86238006,100,8,43,04,D6,40,59,9C,D6,41",0.571428000
8,62500,12,2025-12-21T15:42:20.809289,-64.0,-63.7586,-63.8,2888,"86240895,100,8,19,9B,11,40,07,8C,CC,41",0.571824000
8,62500,12,2025-12-21T15:42:23.704289,-63.0,-63.3793,-63.5,2895,"86243784,100,8,73,6B,FF,40,77,2D,C2,41",0.573210000
8,62500,12,2025-12-21T15:42:26.592289,-64.0,-63.6896,-63.5,2888,"86246673,100,8,78,56,27,40,18,33,B8,41",0.571824000
8,62500,12,2025-12-21T15:42:29.473289,-64.0,-63.8448,-63.8,2881,"86249562,100,8,76,20,CC,40,6E,F8,AE,41",0.570438000
8,62500,12,2025-12-21T15:42:32.362289,-63.0,-63.4224,-63.5,2889,"86252451,100,8,78,23,A6,40,59,CA,A7,41",0.572022000
8,62500,12,2025-12-21T15:42:35.253289,-64.0,-63.7112,-63.8,2891,"86255341,100,8,C8,B4,52,40,8B,C6,A2,41",0.572418000
8,62500,12,2025-12-21T15:42:38.154289,-64.0,-63.8556,-63.8,2901,"86258230,100,8,9C,83,F7,40,4E,43,A0,41",0.574398000
8,62500,12,2025-12-21T15:42:41.033289,-63.0,-63.4278,-63.5,2879,"86261119,100,8,EF,07,00,40,36,7B,A0,41",0.570042000
8,62500,12,2025-12-21T15:42:43.917289,-63.0,-63.2139,-63.5,2884,"86264008,100,8,DE,5B,F1,40,60,66,A3,41",0.571032000
8,62500,12,2025-12-21T15:42:46.804289,-63.0,-63.1070,-63.2,2887,"86266897,100,8,67,1B,69,40,5F,C7,A8,41",0.571626000
8,62500,12,2025-12-21T15:42:49.698289,-64.0,-63.5535,-63.2,2894,"86269786,100,8,47,19,99,40,A1,41,B0,41",0.573012000
8,62500,12,2025-12-21T15:42:52.582289,-63.0,-63.2767,-63.2,2884,"86272675,100,8,5B,29,CF,40,ED,B3,B9,41",0.571032000
8,62500,12,2025-12-21T15:42:55.472289,-63.0,-63.1384,-63.2,2890,"86275564,100,8,61,F7,18,40,8C,C9,C3,41",0.572220000
8,62500,12,2025-12-21T15:42:58.358289,-63.0,-63.0692,-63.2,2886,"86278453,100,8,BD,F7,FF,40,A8,27,CE,41",0.571428000
8,62500,12,2025-12-21T15:43:01.255289,-64.0,-63.5346,-63.2,2897,"86281342,100,8,59,19,1E,40,DA,1B,D8,41",0.573606000
8,62500,12,2025-12-21T15:43:04.140289,-63.0,-63.2673,-63.2,2885,"86284232,100,8,61,21,D3,40,80,4A,E1,41",0.571230000
8,62500,12,2025-12-21T15:43:07.025289,-63.0,-63.1336,-63.2,2885,"86287121,100,8,63,12,9E,40,68,68,E8,41",0.571230000
8,62500,12,2025-12-21T15:43:09.913289,-63.0,-63.0668,-63.2,2888,"86290010,100,8,22,59,60,40,A2,58,ED,41",0.571824000
8,62500,12,2025-12-21T15:43:12.812289,-63.0,-63.0334,-63.0,2899,"86292899,100,8,08,D0,EE,40,8C,D0,EF,41",0.574002000
8,62500,12,2025-12-21T15:43:15.692289,-64.0,-63.5167,-63.2,2880,"86295788,100,8,5B,6B,00,40,1E,77,EF,41",0.570240000
8,62500,12,2025-12-21T15:43:18.579289,-64.0,-63.7584,-63.5,2887,"86298677,100,8,C6,59,F5,40,8F,76,EC,41",0.571626000
8,62500,12,2025-12-21T15:43:21.468289,-64.0,-63.8792,-63.8,2889,"86301566,100,8,58,09,5B,40,88,02,E7,41",0.572022000
8,62500,12,2025-12-21T15:43:24.362289,-64.0,-63.9396,-64.0,2894,"86304455,100,8,C6,BD,AA,40,A8,25,DF,41",0.573012000
8,62500,12,2025-12-21T15:43:27.248289,-64.0,-63.9698,-64.0,2886,"86307344,100,8,29,F9,C7,40,8A,FB,D5,41",0.571428000
8,62500,12,2025-12-21T15:43:30.135289,-64.0,-63.9849,-64.0,2887,"86310233,100,8,BB,81,21,40,CE,E0,CB,41",0.571626000
8,62500,12,2025-12-21T15:43:33.022289,-63.0,-63.4924,-63.8,2887,"86313123,100,8,79,D6,FF,40,56,83,C1,41",0.571626000
8,62500,12,2025-12-21T15:43:35.915289,-63.0,-63.2462,-63.5,2893,"86316012,100,8,77,F1,0D,40,53,38,B7,41",0.572814000
8,62500,12,2025-12-21T15:43:38.800289,-63.0,-63.1231,-63.2,2885,"86318901,100,8,D5,C5,D9,40,08,73,AE,41",0.571230000
8,62500,12,2025-12-21T15:43:41.692289,-63.0,-63.0616,-63.0,2892,"86321790,100,8,CA,04,96,40,6C,65,A7,41",0.572616000
8,62500,12,2025-12-21T15:43:44.575289,-63.0,-63.0308,-63.0,2883,"86324679,100,8,77,AA,6E,40,DF,88,A2,41",0.570834000
8,62500,12,2025-12-21T15:43:47.469289,-63.0,-63.0154,-63.0,2894,"86327568,100,8,68,EE,E9,40,89,27,A0,41",0.573012000
8,62500,12,2025-12-21T15:43:50.353289,-64.0,-63.5077,-63.2,2884,"86330457,100,8,3C,29,02,40,45,97,A0,41",0.571032000
8,62500,12,2025-12-21T15:43:53.241289,-64.0,-63.7538,-63.5,2888,"86333346,100,8,54,BD,F8,40,2A,AD,A3,41",0.571824000
8,62500,12,2025-12-21T15:43:56.130289,-63.0,-63.3769,-63.5,2889,"86336235,100,8,DF,AD,4D,40,21,34,A9,41",0.572022000
8,62500,12,2025-12-21T15:43:59.018289,-63.0,-63.1885,-63.5,2888,"86339124,100,8,DC,B6,B2,40,C3,20,B1,41",0.571824000
8,62500,12,2025-12-21T15:44:01.909289,-63.0,-63.0942,-63.2,2891,"86342014,100,8,AD,80,C0,40,3F,55,BA,41",0.572418000
8,62500,12,2025-12-21T15:44:04.800289,-64.0,-63.5471,-63.2,2891,"86344903,100,8,B5,2A,2B,40,EA,74,C4,41",0.572418000
8,62500,12,2025-12-21T15:44:07.687289,-64.0,-63.7736,-63.5,2887,"86347792,100,8,E4,07,FF,40,8F,D1,CE,41",0.571626000
8,62500,12,2025-12-21T15:44:10.571289,-64.0,-63.8868,-63.8,2884,"86350681,100,8,45,8A,08,40,AC,15,D9,41",0.571032000
8,62500,12,2025-12-21T15:44:13.463289,-63.0,-63.4434,-63.8,2892,"86353570,100,8,CE,01,E0,40,F9,CE,E1,41",0.572616000
8,62500,12,2025-12-21T15:44:16.349289,-63.0,-63.2217,-63.5,2886,"86356459,100,8,3E,09,8E,40,28,CC,E8,41",0.571428000
8,62500,12,2025-12-21T15:44:19.238289,-64.0,-63.6108,-63.5,2889,"86359348,100,8,E2,8E,7D,40,F3,94,ED,41",0.572022000
8,62500,12,2025-12-21T15:44:22.127289,-63.0,-63.3054,-63.2,2889,"86362237,100,8,15,87,E4,40,A9,DF,EF,41",0.572022000
8,62500,12,2025-12-21T15:44:25.016289,-64.0,-63.6527,-63.5,2889,"86365126,100,8,6D,3E,05,40,A2,59,EF,41",0.572022000
8,62500,12,2025-12-21T15:44:27.908289,-63.0,-63.3264,-63.5,2892,"86368015,100,8,67,80,FB,40,74,2E,EC,41",0.572616000
8,62500,12,2025-12-21T15:44:30.790289,-63.0,-63.1632,-63.2,2882,"86370905,100,8,24,21,41,40,A7,94,E6,41",0.570636000
8,62500,12,2025-12-21T15:44:33.680289,-64.0,-63.5816,-63.5,2890,"86373794,100,8,19,8E,BA,40,67,98,DE,41",0.572220000
8,62500,12,2025-12-21T15:44:36.576289,-64.0,-63.7908,-63.5,2896,"86376683,100,8,6A,CD,B8,40,B9,59,D5,41",0.573408000
8,62500,12,2025-12-21T15:44:39.453289,-64.0,-63.8954,-63.8,2877,"86379572,100,8,6E,06,EB,40,9E,6A,C4,41",0.569646000
8,62500,12,2025-12-21T15:44:42.347289,-64.0,-63.9477,-64.0,2894,"86382461,100,8,55,EF,FA,40,04,75,C0,41",0.573012000
8,62500,12,2025-12-21T15:44:45.236289,-64.0,-63.9738,-64.0,2889,"86385350,100,8,D9,6E,04,40,A4,9C,B6,41",0.572022000
8,62500,12,2025-12-21T15:44:48.123289,-64.0,-63.9869,-64.0,2887,"86388239,100,8,07,CA,E5,40,7C,EF,AD,41",0.571626000
8,62500,12,2025-12-21T15:44:51.018289,-63.0,-63.4935,-63.8,2895,"86391128,100,8,2F,2E,86,40,DC,02,A7,41",0.573210000
8,62500,12,2025-12-21T15:44:53.904289,-63.0,-63.2467,-63.5,2886,"86394017,100,8,7A,D3,8F,40,24,2C,A2,41",0.571428000
8,62500,12,2025-12-21T15:44:56.792289,-64.0,-63.6234,-63.5,2888,"86396906,100,8,D5,A3,DE,40,DD,19,A0,41",0.571824000
8,62500,12,2025-12-21T15:44:59.685289,-64.0,-63.8117,-63.5,2893,"86399796,100,8,5A,A5,09,40,2E,B6,A0,41",0.572814000
8,62500,12,2025-12-21T15:45:02.567289,-63.0,-63.4058,-63.5,2882,"86402685,100,8,01,9E,FD,40,95,F6,A3,41",0.570636000
8,62500,12,2025-12-21T15:45:05.456289,-64.0,-63.7029,-63.8,2889,"86405574,100,8,38,E5,28,40,2B,E6,A9,41",0.572022000
8,62500,12,2025-12-21T15:45:08.348289,-63.0,-63.3515,-63.5,2892,"86408463,100,8,51,35,C2,40,D7,AE,B1,41",0.572616000
8,62500,12,2025-12-21T15:45:11.229289,-64.0,-63.6757,-63.5,2881,"86411352,100,8,4C,ED,B0,40,8D,F7,BA,41",0.570438000
8,62500,12,2025-12-21T15:45:14.121289,-64.0,-63.8379,-63.8,2892,"86414241,100,8,C1,90,41,40,8A,20,C5,41",0.572616000
8,62500,12,2025-12-21T15:45:17.009289,-63.0,-63.4189,-63.5,2888,"86417130,100,8,9D,07,F8,40,76,DF,CF,41",0.571824000
8,62500,12,2025-12-21T15:45:19.899289,-64.0,-63.7095,-63.8,2890,"86420019,100,8,A1,A6,01,40,BB,B0,D9,41",0.572220000
8,62500,12,2025-12-21T15:45:22.784289,-64.0,-63.8547,-63.8,2885,"86422908,100,8,0A,14,EB,40,95,51,E2,41",0.571230000
8,62500,12,2025-12-21T15:45:25.681289,-64.0,-63.9274,-63.8,2897,"86425797,100,8,A2,03,7D,40,88,2D,E9,41",0.573606000
8,62500,12,2025-12-21T15:45:28.563289,-63.0,-63.4637,-63.8,2882,"86428687,100,8,5C,D4,97,40,80,EF,ED,41",0.570636000
8,62500,12,2025-12-21T15:45:31.451289,-63.0,-63.2318,-63.5,2888,"86431576,100,8,4C,4F,D8,40,E4,EB,EF,41",0.571824000
8,62500,12,2025-12-21T15:45:34.338289,-64.0,-63.6159,-63.5,2887,"86434465,100,8,0E,56,0F,40,4C,39,EF,41",0.571626000
8,62500,12,2025-12-21T15:45:37.228289,-64.0,-63.8080,-63.5,2890,"86437354,100,8,4E,12,FF,40,BB,E3,EB,41",0.572220000
8,62500,12,2025-12-21T15:45:40.117289,-63.0,-63.4040,-63.5,2889,"86440243,100,8,63,7B,1F,40,DD,E0,E5,41",0.572022000
8,62500,12,2025-12-21T15:45:43.009289,-64.0,-63.7020,-63.8,2892,"86443132,100,8,AC,9E,C9,40,83,09,DE,41",0.572616000
8,62500,12,2025-12-21T15:45:45.892289,-63.0,-63.3510,-63.5,2883,"86446021,100,8,92,EE,A8,40,F0,B6,D4,41",0.570834000
8,62500,12,2025-12-21T15:45:48.783289,-64.0,-63.6755,-63.5,2891,"86448910,100,8,51,25,4E,40,91,89,CA,41",0.572418000
8,62500,12,2025-12-21T15:45:51.675289,-64.0,-63.8377,-63.8,2892,"86451799,100,8,B2,80,F4,40,34,CC,BF,41",0.572616000
8,62500,12,2025-12-21T15:45:54.559289,-63.0,-63.4189,-63.5,2884,"86454688,100,8,A4,36,00,40,37,02,B6,41",0.571032000
8,62500,12,2025-12-21T15:45:57.447289,-63.0,-63.2094,-63.5,2888,"86457578,100,8,47,D6,EF,40,D4,6D,AD,41",0.571824000
8,62500,12,2025-12-21T15:46:00.341289,-63.0,-63.1047,-63.2,2894,"86460467,100,8,0A,24,6E,40,AE,A2,A6,41",0.573012000
8,62500,12,2025-12-21T15:46:03.224289,-64.0,-63.5524,-63.2,2883,"86463356,100,8,04,E4,9F,40,8B,F5,A1,41",0.570834000
8,62500,12,2025-12-21T15:46:06.118289,-64.0,-63.7762,-63.5,2894,"86466245,100,8,EF,94,D1,40,14,0F,A0,41",0.573012000
8,62500,12,2025-12-21T15:46:09.002289,-64.0,-63.8881,-63.8,2884,"86469134,100,8,3E,46,16,40,EF,D7,A0,41",0.571032000
8,62500,12,2025-12-21T15:46:11.890289,-63.0,-63.4440,-63.8,2888,"86472023,100,8,AD,DA,FF,40,9B,42,A4,41",0.571824000
8,62500,12,2025-12-21T15:46:14.778289,-63.0,-63.2220,-63.5,2888,"86474912,100,8,D7,33,17,40,A5,58,AA,41",0.571824000
8,62500,12,2025-12-21T15:46:17.668289,-63.0,-63.1110,-63.2,2890,"86477801,100,8,C3,BC,D0,40,89,3E,B2,41",0.572220000
8,62500,12,2025-12-21T15:46:20.557289,-64.0,-63.5555,-63.2,2889,"86480690,100,8,12,62,01,40,B2,37,C2,41",0.572022000
8,62500,12,2025-12-21T15:46:23.448289,-64.0,-63.7778,-63.5,2891,"86483579,100,8,D6,5D,6C,40,A5,32,C6,41",0.572418000
8,62500,12,2025-12-21T15:46:26.335289,-64.0,-63.8889,-63.8,2887,"86486469,100,8,F7,60,F0,40,FC,87,D0,41",0.571626000
8,62500,12,2025-12-21T15:46:29.222289,-63.0,-63.4444,-63.8,2887,"86489358,100,8,7D,21,00,40,83,4A,DA,41",0.571626000
8,62500,12,2025-12-21T15:46:32.118289,-63.0,-63.2222,-63.5,2896,"86492247,100,8,23,08,F4,40,49,D2,E2,41",0.573408000
8,62500,12,2025-12-21T15:46:35.000289,-64.0,-63.6111,-63.5,2882,"86495136,100,8,24,BC,4F,40,D6,C3,E9,41",0.570636000
8,62500,12,2025-12-21T15:46:37.887289,-64.0,-63.8056,-63.5,2887,"86498025,100,8,DE,F3,A7,40,BA,24,EE,41",0.571626000
8,62500,12,2025-12-21T15:46:40.780289,-64.0,-63.9028,-63.8,2893,"86500914,100,8,E8,80,CA,40,3B,F5,EF,41",0.572814000
8,62500,12,2025-12-21T15:46:43.667289,-64.0,-63.9514,-64.0,2887,"86503803,100,8,5D,69,1E,40,20,16,EF,41",0.571626000
8,62500,12,2025-12-21T15:46:46.558289,-63.0,-63.4757,-63.8,2891,"86506692,100,8,F2,33,FF,40,34,67,EB,41",0.572418000
8,62500,12,2025-12-21T15:46:49.445289,-64.0,-63.7378,-63.8,2887,"86509581,100,8,8D,1D,10,40,4F,6D,E5,41",0.571626000
