SF,BW,TP,payload,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp
10,500000,22,"11041479,100,8,61,D7,45,40,57,18,A0,41",38,-44.0,-36.4667,-44.39,-44.4,73.81,83.04,1249,2025-12-13T20:17:32.499562
10,500000,22,"11043669,100,8,17,94,04,40,8B,A3,A0,41",38,-45.0,-37.5333,-44.62,-44.6,73.81,83.04,1252,2025-12-13T20:17:33.751562
10,500000,22,"11044919,100,8,6A,F2,D9,40,89,D6,A2,41",38,-44.0,-36.4667,-44.42,-44.5,73.81,83.04,1249,2025-12-13T20:17:35.000562
10,500000,22,"11046169,100,8,0A,7F,FE,40,EA,AF,A4,41",38,-42.0,-34.3333,-43.70,-43.8,73.81,83.04,1249,2025-12-13T20:17:36.249562
10,500000,22,"11047419,100,8,82,C7,BB,40,91,F6,A6,41",38,-45.0,-37.5333,-44.21,-44.0,73.81,83.04,1255,2025-12-13T20:17:37.504562
10,500000,22,"11048669,100,8,27,D6,28,40,81,E6,A9,41",38,-43.0,-35.4000,-43.61,-43.5,73.81,83.04,1243,2025-12-13T20:17:38.747562
10,500000,22,"11049919,100,8,BB,EE,11,40,6E,F9,AC,41",38,-45.0,-37.5333,-44.30,-43.8,73.81,83.04,1254,2025-12-13T20:17:40.001562
10,500000,22,"11051169,100,8,69,38,A6,40,EC,B2,B0,41",38,-45.0,-37.5333,-44.65,-44.5,73.81,83.04,1237,2025-12-13T20:17:41.238562
10,500000,22,"11052419,100,8,99,32,F8,40,AE,68,B4,41",38,-46.0,-38.6000,-45.33,-44.8,73.81,83.04,1260,2025-12-13T20:17:42.498562
10,500000,22,"11053669,100,8,B8,CA,E9,40,10,5B,B8,41",38,-45.0,-37.5333,-45.16,-45.2,73.81,83.04,1246,2025-12-13T20:17:43.744562
10,500000,22,"11054919,100,8,7B,81,81,40,12,E0,BC,41",38,-45.0,-37.5333,-45.08,-45.2,73.81,83.04,1251,2025-12-13T20:17:44.995562
