SF,BW,TP,payload,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp
8,500000,2,"2633615,100,8,63,1E,3E,40,3F,04,EA,41",37,-57.0,-50.3333,-57.17,-57.2,8.14,12.21,369,2025-12-13T17:57:23.243800
8,500000,2,"2634829,100,8,94,D6,02,40,95,F2,EB,41",37,-58.0,-51.4000,-57.49,-57.5,8.14,12.21,370,2025-12-13T17:57:23.613800
8,500000,2,"2635198,100,8,7E,C3,29,40,8B,C7,EC,41",37,-58.0,-51.4000,-57.65,-57.6,8.14,12.21,376,2025-12-13T17:57:23.989800
8,500000,2,"2635568,100,8,DF,CD,53,40,0F,3C,ED,41",37,-58.0,-51.4000,-57.76,-57.8,8.14,12.21,371,2025-12-13T17:57:24.360800
8,500000,2,"2635938,100,8,41,0E,8D,40,0C,CA,ED,41",37,-57.0,-50.3333,-57.06,-57.8,8.14,12.21,363,2025-12-13T17:57:24.723800
8,500000,2,"2636308,100,8,C0,B6,A9,40,64,2A,EE,41",37,-58.0,-51.4000,-57.53,-57.8,8.14,12.21,369,2025-12-13T17:57:25.092800
8,500000,2,"2636678,100,8,1D,81,C5,40,F2,81,EE,41",37,-58.0,-51.4000,-57.77,-57.8,8.14,12.21,367,2025-12-13T17:57:25.459800
8,500000,2,"2637048,100,8,02,F5,E4,40,DF,E8,EE,41",37,-58.0,-51.4000,-57.88,-57.8,8.14,12.21,377,2025-12-13T17:57:25.836800
8,500000,2,"2637418,100,8,73,9D,F5,40,9E,2B,EF,41",37,-57.0,-50.3333,-57.44,-57.8,8.14,12.21,363,2025-12-13T17:57:26.199800
8,500000,2,"2637788,100,8,12,A0,FE,40,56,65,EF,41",37,-58.0,-51.4000,-57.72,-57.8,8.14,12.21,373,2025-12-13T17:57:26.572800
8,500000,2,"2638159,100,8,AA,75,FD,40,2C,A4,EF,41",37,-58.0,-51.4000,-57.86,-57.8,8.14,12.21,364,2025-12-13T17:57:26.936800
8,500000,2,"2638527,100,8,58,CD,F2,40,A6,C8,EF,41",37,-57.0,-50.3333,-57.43,-57.5,8.14,12.21,358,2025-12-13T17:57:27.294800
8,500000,2,"2638897,100,8,87,BF,E0,40,F5,E3,EF,41",37,-58.0,-51.4000,-57.72,-57.8,8.14,12.21,382,2025-12-13T17:57:27.676800
8,500000,2,"2639267,100,8,2E,09,C0,40,13,FA,EF,41",37,-58.0,-51.4000,-57.86,-57.8,8.14,12.21,357,2025-12-13T17:57:28.033800
8,500000,2,"2639637,100,8,80,DC,A3,40,EB,FF,EF,41",37,-56.0,-49.2667,-56.93,-57.2,8.14,12.21,376,2025-12-13T17:57:28.409800
8,500000,2,"2640007,100,8,86,57,87,40,8C,FC,EF,41",37,-58.0,-51.4000,-57.46,-57.5,8.14,12.21,364,2025-12-13T17:57:28.773800
8,500000,2,"2640377,100,8,22,51,4A,40,B9,E9,EF,41",37,-58.0,-51.4000,-57.73,-57.5,8.14,12.21,370,2025-12-13T17:57:29.143800
8,500000,2,"2640747,100,8,AB,BD,22,40,E0,D0,EF,41",37,-58.0,-51.4000,-57.87,-57.5,8.14,12.21,374,2025-12-13T17:57:29.517800
8,500000,2,"2641117,100,8,66,42,04,40,7B,A1,EF,41",37,-58.0,-51.4000,-57.93,-58.0,8.14,12.21,366,2025-12-13T17:57:29.883800
8,500000,2,"2641487,100,8,69,C2,00,40,47,73,EF,41",37,-57.0,-50.3333,-57.47,-57.8,8.14,12.21,365,2025-12-13T17:57:30.248800
