SF,BW,TP,payload,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp
9,500000,2,"5367262,100,8,9E,EE,7C,40,46,6C,A2,41",37,-58.0,-51.4000,-57.97,-58.0,13.84,20.76,629,2025-12-13T18:42:57.693189
9,500000,2,"5369481,100,8,25,B0,E7,40,4A,0D,A1,41",37,-58.0,-51.4000,-57.98,-58.0,13.84,20.76,626,2025-12-13T18:42:58.319189
9,500000,2,"5370109,100,8,C1,BA,DD,40,F7,18,A0,41",37,-58.0,-51.4000,-57.99,-58.0,13.84,20.76,632,2025-12-13T18:42:58.951189
9,500000,2,"5370739,100,8,A9,EC,B2,40,04,02,A0,41",37,-59.0,-52.4667,-58.29,-58.2,13.84,20.76,627,2025-12-13T18:42:59.578189
9,500000,2,"5371369,100,8,3B,F4,74,40,41,08,A0,41",37,-58.0,-51.4000,-57.87,-58.2,13.84,20.76,627,2025-12-13T18:43:00.205189
9,500000,2,"5371999,100,8,5C,46,1E,40,51,33,A0,41",37,-56.0,-49.2667,-56.94,-57.8,13.84,20.76,630,2025-12-13T18:43:00.835189
9,500000,2,"5372629,100,8,BA,75,00,40,3A,73,A0,41",37,-59.0,-52.4667,-57.97,-58.0,13.84,20.76,635,2025-12-13T18:43:01.470189
9,500000,2,"5373259,100,8,8F,6A,1A,40,4C,E1,A0,41",37,-59.0,-52.4667,-58.48,-58.0,13.84,20.76,626,2025-12-13T18:43:02.096189
9,500000,2,"5373889,100,8,3E,37,6E,40,6A,73,A1,41",37,-59.0,-52.4667,-58.74,-58.2,13.84,20.76,621,2025-12-13T18:43:02.717189
9,500000,2,"5374519,100,8,DE,4A,AF,40,0C,29,A2,41",37,-60.0,-53.5333,-59.37,-59.2,13.84,20.76,635,2025-12-13T18:43:03.352189
9,500000,2,"5375149,100,8,88,DB,DA,40,12,DB,A2,41",37,-57.0,-50.3333,-58.19,-58.8,13.84,20.76,635,2025-12-13T18:43:03.987189
9,500000,2,"5375779,100,8,68,66,FB,40,07,D0,A3,41",37,-59.0,-52.4667,-58.59,-58.8,13.84,20.76,627,2025-12-13T18:43:04.614189
9,500000,2,"5376409,100,8,8B,03,FC,40,53,E6,A4,41",37,-58.0,-51.4000,-58.30,-58.5,13.84,20.76,615,2025-12-13T18:43:05.229189
9,500000,2,"5377039,100,8,0E,7C,DC,40,F6,1C,A6,41",37,-58.0,-51.4000,-58.15,-58.0,13.84,20.76,643,2025-12-13T18:43:05.872189
