SF,BW,TP,payload,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp
9,125000,2,"4013975,100,8,25,27,66,40,7B,17,B2,41",37,-72.0,-66.3333,-72.26,-72.3,55.36,83.04,2477,2025-12-31T00:23:39.462147
9,125000,2,"4022806,100,8,4F,12,2D,40,42,B7,A5,41",37,-73.0,-67.4000,-72.54,-72.5,55.36,83.04,2483,2025-12-31T00:23:41.945147
9,125000,2,"4025285,100,8,E1,18,5B,40,14,55,A1,41",37,-73.0,-67.4000,-72.69,-72.6,55.36,83.04,2470,2025-12-31T00:23:44.415147
9,125000,2,"4027764,100,8,F4,84,FE,40,41,AF,A4,41",37,-73.0,-67.4000,-72.78,-72.8,55.36,83.04,2474,2025-12-31T00:23:46.889147
9,125000,2,"4030243,100,8,97,97,35,40,89,A2,A9,41",37,-73.0,-67.4000,-72.54,-73.0,55.36,83.04,2467,2025-12-31T00:23:49.356147
9,125000,2,"4032722,100,8,72,7E,9C,40,DB,5E,B0,41",37,-73.0,-67.4000,-72.77,-73.0,55.36,83.04,2487,2025-12-31T00:23:51.843147
9,125000,2,"4035201,100,8,90,A0,EF,40,BC,FB,B7,41",37,-72.0,-66.3333,-72.39,-72.8,55.36,83.04,2474,2025-12-31T00:23:54.317147
9,125000,2,"4037680,100,8,E5,EA,05,40,E1,C2,C0,41",37,-73.0,-67.4000,-72.69,-72.8,55.36,83.04,2484,2025-12-31T00:23:56.801147
9,125000,2,"4040159,100,8,3F,A2,C3,40,51,85,C9,41",37,-71.0,-65.2667,-71.85,-72.2,55.36,83.04,2473,2025-12-31T00:23:59.274147
9,125000,2,"4042638,100,8,42,BB,CA,40,DE,97,D2,41",37,-72.0,-66.3333,-71.92,-72.0,55.36,83.04,2477,2025-12-31T00:24:01.751147
9,125000,2,"4045117,100,8,26,B3,02,40,63,C1,DA,41",37,-73.0,-67.4000,-72.46,-72.2,55.36,83.04,2482,2025-12-31T00:24:04.233147
9,125000,2,"4047597,100,8,A7,06,EB,40,E9,50,E2,41",37,-73.0,-67.4000,-72.73,-72.2,55.36,83.04,2461,2025-12-31T00:24:06.694147
9,125000,2,"4050076,100,8,19,45,A4,40,79,41,E8,41",37,-72.0,-66.3333,-72.37,-72.5,55.36,83.04,2475,2025-12-31T00:24:09.169147
9,125000,2,"4052555,100,8,C3,46,2B,40,97,CC,EC,41",37,-73.0,-67.4000,-72.68,-72.8,55.36,83.04,2477,2025-12-31T00:24:11.646147
9,125000,2,"4055034,100,8,30,D2,FE,40,8E,67,EF,41",37,-73.0,-67.4000,-72.84,-72.8,55.36,83.04,2485,2025-12-31T00:24:14.131147
9,125000,2,"4057513,100,8,0D,A6,68,40,94,F4,EF,41",37,-74.0,-68.4667,-73.42,-73.0,55.36,83.04,2475,2025-12-31T00:24:16.606147
9,125000,2,"4059992,100,8,4B,B3,7A,40,01,79,EE,41",37,-73.0,-67.4000,-73.21,-73.2,55.36,83.04,2481,2025-12-31T00:24:19.087147
9,125000,2,"4062471,100,8,6D,C6,FC,40,00,28,EB,41",37,-73.0,-67.4000,-73.11,-73.2,55.36,83.04,2473,2025-12-31T00:24:21.560147
9,125000,2,"4064950,100,8,F5,92,1F,40,75,E1,E5,41",37,-73.0,-67.4000,-73.05,-73.2,55.36,83.04,2482,2025-12-31T00:24:24.042147
9,125000,2,"4067429,100,8,FF,8F,A4,40,77,5B,DF,41",37,-72.0,-66.3333,-72.53,-72.8,55.36,83.04,2469,2025-12-31T00:24:26.511147
9,125000,2,"4069908,100,8,89,77,E4,40,DC,56,D7,41",37,-72.0,-66.3333,-72.26,-72.5,55.36,83.04,2488,2025-12-31T00:24:28.999147
9,125000,2,"4072388,100,8,51,9A,02,40,63,E8,CE,41",37,-73.0,-67.4000,-72.63,-72.5,55.36,83.04,2466,2025-12-31T00:24:31.465147
9,125000,2,"4074867,100,8,0F,59,D3,40,67,BE,C5,41",37,-72.0,-66.3333,-72.32,-72.2,55.36,83.04,2477,2025-12-31T00:24:33.942147
9,125000,2,"4077346,100,8,95,5C,C3,40,36,15,BD,41",37,-72.0,-66.3333,-72.16,-72.2,55.36,83.04,2480,2025-12-31T00:24:36.422147
9,125000,2,"4079825,100,8,3C,C5,0B,40,F3,98,B4,41",37,-72.0,-66.3333,-72.08,-72.2,55.36,83.04,2476,2025-12-31T00:24:38.898147
9,125000,2,"4082304,100,8,59,CA,EF,40,7F,6E,AD,41",37,-72.0,-66.3333,-72.04,-72.0,55.36,83.04,2484,2025-12-31T00:24:41.382147
9,125000,2,"4084783,100,8,CC,A4,92,40,77,50,A7,41",37,-73.0,-67.4000,-72.52,-72.2,55.36,83.04,2475,2025-12-31T00:24:43.857147
9,125000,2,"4087262,100,8,AE,FF,35,40,FF,11,A3,41",37,-73.0,-67.4000,-72.76,-72.5,55.36,83.04,2463,2025-12-31T00:24:46.320147
9,125000,2,"4089741,100,8,E4,BE,FF,40,01,8A,A0,41",37,-73.0,-67.4000,-72.88,-72.8,55.36,83.04,2492,2025-12-31T00:24:48.812147
9,125000,2,"4092220,100,8,40,D4,4A,40,0D,16,A0,41",37,-72.0,-66.3333,-72.44,-72.8,55.36,83.04,2469,2025-12-31T00:24:51.281147
9,125000,2,"4094699,100,8,9E,FD,84,40,E8,9E,A1,41",37,-72.0,-66.3333,-72.22,-72.5,55.36,83.04,2476,2025-12-31T00:24:53.757147
9,125000,2,"4097179,100,8,10,B1,F6,40,6E,33,A5,41",37,-73.0,-67.4000,-72.61,-72.5,55.36,83.04,2471,2025-12-31T00:24:56.228147
9,125000,2,"4099658,100,8,50,48,17,40,0C,58,AA,41",37,-73.0,-67.4000,-72.81,-72.5,55.36,83.04,2480,2025-12-31T00:24:58.708147
9,125000,2,"4102137,100,8,77,09,B6,40,8E,3E,B1,41",37,-72.0,-66.3333,-72.40,-72.5,55.36,83.04,2474,2025-12-31T00:25:01.182147
9,125000,2,"4104616,100,8,02,93,DE,40,C9,F8,B8,41",37,-73.0,-67.4000,-72.70,-72.8,55.36,83.04,2484,2025-12-31T00:25:03.666147
9,125000,2,"4107095,100,8,16,09,00,40,90,D1,C1,41",37,-72.0,-66.3333,-72.35,-72.5,55.36,83.04,2467,2025-12-31T00:25:06.133147
