SF,BW,TP,payload,payload_size_bytes,rssi,rssi_corrected,kalman_rssi,sma_rssi,energy_per_packet_min_mj,energy_per_packet_max_mj,tx_interval_ms,timestamp
12,250000,2,"16618469,100,8,B2,41,9F,40,20,9C,BB,41",38,-63.0,-56.7333,-63.09,-63.1,221.40,332.11,8249,2025-12-19T22:28:37.761881
12,250000,2,"16623215,100,8,F4,04,1B,40,2B,F4,B3,41",38,-63.0,-56.7333,-63.06,-63.1,221.40,332.11,8246,2025-12-19T22:28:46.007881
12,250000,2,"16631465,100,8,C4,12,94,40,57,59,A7,41",38,-64.0,-57.8000,-63.36,-63.3,221.40,332.11,8252,2025-12-19T22:28:54.259881
12,250000,2,"16639715,100,8,E5,07,05,40,FC,5B,A0,41",38,-62.0,-55.6667,-62.96,-63.0,221.40,332.11,8250,2025-12-19T22:29:02.509881
12,250000,2,"16647965,100,8,B1,3B,56,40,48,A4,AE,41",38,-63.0,-56.7333,-62.44,-63.0,221.40,332.11,8247,2025-12-19T22:29:10.756881
12,250000,2,"16656215,100,8,73,D2,D8,40,2E,88,CA,41",38,-63.0,-56.7333,-62.72,-63.0,221.40,332.11,8248,2025-12-19T22:29:19.004881
12,250000,2,"16664465,100,8,C7,46,FC,40,3F,10,E5,41",38,-63.0,-56.7333,-62.86,-62.8,221.40,332.11,8249,2025-12-19T22:29:27.253881
12,250000,2,"16672715,100,8,88,26,A7,40,B7,FF,EF,41",38,-62.0,-55.6667,-62.43,-62.8,221.40,332.11,8250,2025-12-19T22:29:35.503881
12,250000,2,"16680965,100,8,8D,5C,11,40,53,78,E5,41",38,-63.0,-56.7333,-62.72,-62.8,221.40,332.11,8252,2025-12-19T22:29:43.755881
12,250000,2,"16689215,100,8,93,A0,38,40,7B,20,CB,41",38,-63.0,-56.7333,-62.86,-62.8,221.40,332.11,8248,2025-12-19T22:29:52.003881
12,250000,2,"16697466,100,8,EE,64,C8,40,15,1B,AF,41",38,-62.0,-55.6667,-62.43,-62.5,221.40,332.11,8248,2025-12-19T22:30:00.251881
12,250000,2,"16705714,100,8,C7,B0,FF,40,88,71,A0,41",38,-63.0,-56.7333,-62.71,-62.8,221.40,332.11,8249,2025-12-19T22:30:08.500881
12,250000,2,"16713964,100,8,F7,F1,B9,40,12,02,A7,41",38,-63.0,-56.7333,-62.86,-62.8,221.40,332.11,8249,2025-12-19T22:30:16.749881
12,250000,2,"16722214,100,8,CE,97,24,40,E2,46,BF,41",38,-63.0,-56.7333,-62.93,-62.8,221.40,332.11,8248,2025-12-19T22:30:24.997881
12,250000,2,"16730464,100,8,DB,5E,20,40,09,3A,DC,41",38,-64.0,-57.8000,-63.46,-63.2,221.40,332.11,8256,2025-12-19T22:30:33.253881
12,250000,2,"16738714,100,8,CB,5E,B6,40,8A,52,EE,41",38,-64.0,-57.8000,-63.73,-63.5,221.40,332.11,8250,2025-12-19T22:30:41.503881
12,250000,2,"16746964,100,8,CA,52,FF,40,7D,DA,EB,41",38,-64.0,-57.8000,-63.87,-63.8,221.40,332.11,8248,2025-12-19T22:30:49.751881
12,250000,2,"16755214,100,8,F1,B6,CB,40,0E,25,D6,41",38,-63.0,-56.7333,-63.43,-63.8,221.40,332.11,8244,2025-12-19T22:30:57.995881
12,250000,2,"16763464,100,8,20,F7,3D,40,7C,D8,B8,41",38,-64.0,-57.8000,-63.72,-63.8,221.40,332.11,8256,2025-12-19T22:31:06.251881
12,250000,2,"16771714,100,8,EA,6B,0E,40,BF,AD,A3,41",38,-62.0,-55.6667,-62.86,-63.2,221.40,332.11,8246,2025-12-19T22:31:14.497881
12,250000,2,"16779964,100,8,5E,76,A3,40,A9,00,A2,41",38,-64.0,-57.8000,-63.43,-63.2,221.40,332.11,8249,2025-12-19T22:31:22.746881
12,250000,2,"16788213,100,8,87,82,FF,40,90,DB,CD,41",38,-63.0,-56.7333,-63.21,-63.2,221.40,332.11,8246,2025-12-19T22:31:30.992881
12,250000,2,"16796463,100,8,B7,C1,DB,40,59,C7,D1,41",38,-64.0,-57.8000,-63.61,-63.2,221.40,332.11,8250,2025-12-19T22:31:39.242881
12,250000,2,"16804713,100,8,6F,5D,6D,40,D8,5F,E9,41",38,-63.0,-56.7333,-63.30,-63.5,221.40,332.11,8249,2025-12-19T22:31:47.491881
12,250000,2,"16812963,100,8,20,CB,00,40,F1,72,EF,41",38,-64.0,-57.8000,-63.65,-63.5,221.40,332.11,8253,2025-12-19T22:31:55.744881
12,250000,2,"16821213,100,8,DF,09,87,40,B9,5A,E0,41",38,-63.0,-56.7333,-63.33,-63.5,221.40,332.11,8246,2025-12-19T22:32:03.990881
12,250000,2,"16829463,100,8,5A,4C,EE,40,D0,30,C4,41",38,-63.0,-56.7333,-63.16,-63.2,221.40,332.11,8255,2025-12-19T22:32:12.245881
12,250000,2,"16837713,100,8,49,3E,EF,40,36,12,AA,41",38,-63.0,-56.7333,-63.08,-63.2,221.40,332.11,8243,2025-12-19T22:32:20.488881
12,250000,2,"16845963,100,8,89,A3,88,40,18,03,A0,41",38,-62.0,-55.6667,-62.54,-62.8,221.40,332.11,8250,2025-12-19T22:32:28.738881
12,250000,2,"16854213,100,8,44,1F,01,40,54,69,AB,41",38,-64.0,-57.8000,-63.27,-63.0,221.40,332.11,8251,2025-12-19T22:32:36.989881
12,250000,2,"16862463,100,8,71,64,6A,40,ED,26,C6,41",38,-63.0,-56.7333,-63.14,-63.0,221.40,332.11,8248,2025-12-19T22:32:45.237881
12,250000,2,"16870713,100,8,A9,C3,E1,40,63,E2,E1,41",38,-64.0,-57.8000,-63.57,-63.2,221.40,332.11,8252,2025-12-19T22:32:53.489881
12,250000,2,"16878963,100,8,73,65,F8,40,FB,B9,EF,41",38,-63.0,-56.7333,-63.28,-63.5,221.40,332.11,8246,2025-12-19T22:33:01.735881
12,250000,2,"16887213,100,8,AC,84,9B,40,22,40,E8,41",38,-64.0,-57.8000,-63.64,-63.5,221.40,332.11,8251,2025-12-19T22:33:09.986881
